kernel,output_mode,index_dtype,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,fused_gbps,ref_gbps
topk,sparse,-,4096,256,8,softmax,0,float32,forward,0.012952959537506104,0.08477343559265137,6.544715541431638,1052.3840486438003,160.79905107894027
topk,sparse,-,4096,256,8,softmax,0,float32,backward_raw,0.00494047999382019,0.05050943851470947,10.223589322877395,2759.14243495591,269.88001452501214
topk,sparse,-,4096,384,6,softmax,0,float32,forward,0.013071039915084839,0.12847968101501464,9.829338893437289,1564.315626976439,159.14759313272623
topk,sparse,-,4096,384,6,softmax,0,float32,backward_raw,0.005642560124397278,0.050754241943359375,8.99489607986779,3623.7508416774053,402.86744944035735
topk,sparse,-,4096,512,10,softmax,0,float32,forward,0.03365600109100342,0.15067487716674804,4.476909682743769,810.0479889539718,180.93909557217532
topk,sparse,-,4096,512,10,softmax,0,float32,backward_raw,0.006718080043792724,0.05042816162109375,7.506335335746356,4058.149921150471,540.629979828495
topk,sparse,-,4096,512,22,softmax,0,float32,forward,0.032358078956604,0.15129535675048827,4.675659421975983,842.5400048180506,180.19704362085133
topk,sparse,-,4096,512,22,softmax,0,float32,backward_raw,0.0067324799299240115,0.05094848155975342,7.567565308780425,4049.4700739951127,535.1087052128419
topk,sparse,-,4096,896,16,softmax,0,float32,forward,0.06031519889831543,0.17494144439697265,2.9004537428767176,791.0146840505987,272.72101339084185
topk,sparse,-,4096,896,16,softmax,0,float32,backward_raw,0.007970560193061828,0.06853631973266601,8.598682912190432,5985.803612841482,696.1302880881158
topk,sparse,-,4096,2304,16,softmax,0,float32,forward,0.15096960067749024,0.25428735733032226,1.68436132962652,812.6363946744693,482.4596601577515
topk,sparse,-,4096,2304,16,softmax,0,float32,backward_raw,0.03425695896148682,0.17398399353027344,5.0787927126244305,3581.269199578576,705.1418323643256
topk,sparse,-,4096,2304,36,softmax,0,float32,forward,0.15340319633483887,0.2761968040466309,1.800463162734666,799.7446919698751,444.1883113871481
topk,sparse,-,4096,2304,36,softmax,0,float32,backward_raw,0.03418463945388794,0.17468511581420898,5.110047044662963,3588.8455739160004,702.3116504698844
topk,sparse,-,16384,256,8,softmax,0,float32,forward,0.03642784118652344,0.2501900863647461,6.868100832099391,1496.8208442769865,217.9380997555112
topk,sparse,-,16384,256,8,softmax,0,float32,backward_raw,0.011565439701080323,0.07985023975372314,6.904211324214882,4714.559360411239,682.8527023609549
topk,sparse,-,16384,384,6,softmax,0,float32,forward,0.03695552110671997,0.42675262451171875,11.547736623151508,2213.1720931173004,191.6541886381628
topk,sparse,-,16384,384,6,softmax,0,float32,backward_raw,0.014441920518875122,0.11419391632080078,7.907114304607412,5663.299967141111,716.2284177226513
topk,sparse,-,16384,512,10,softmax,0,float32,forward,0.10922944068908691,0.4028678512573242,3.688271666647604,998.3746443452708,270.68902038138845
topk,sparse,-,16384,512,10,softmax,0,float32,backward_raw,0.02346751928329468,0.15062432289123534,6.418416922254627,4646.929344493111,723.9992977677684
topk,sparse,-,16384,512,22,softmax,0,float32,forward,0.10596927642822265,0.4066191864013672,3.837142236946263,1029.0898237270246,268.191732330989
topk,sparse,-,16384,512,22,softmax,0,float32,backward_raw,0.023476159572601317,0.15134143829345703,6.446601192389466,4645.219064163837,720.5687036523601
topk,sparse,-,16384,896,16,softmax,0,float32,forward,0.18687328338623047,0.5148211288452148,2.7549209791598748,1021.2312243990992,370.69347256215246
topk,sparse,-,16384,896,16,softmax,0,float32,backward_raw,0.037556159496307376,0.2752364730834961,7.328663973497026,5081.478898787934,693.3704311132714
topk,sparse,-,16384,2304,16,softmax,0,float32,forward,0.48922943115234374,0.9493494415283203,1.940499448882701,1003.0745019654958,516.9156335205583
topk,sparse,-,16384,2304,16,softmax,0,float32,backward_raw,0.10393759727478027,0.731957778930664,7.042281119849097,4721.424978707614,670.4397195107691
topk,sparse,-,16384,2304,36,softmax,0,float32,forward,0.5004857635498047,1.028663330078125,2.0553298515068747,980.5145395532629,477.0594553640109
topk,sparse,-,16384,2304,36,softmax,0,float32,backward_raw,0.10394240379333496,0.7320681762695312,7.043017570818131,4721.206649941523,670.3386158659118
topk,sparse,-,65536,256,8,softmax,0,float32,forward,0.13315711975097655,0.9571635437011718,7.188226551394389,1637.9432688833033,227.86472534947737
topk,sparse,-,65536,256,8,softmax,0,float32,backward_raw,0.043274879455566406,0.3278156661987305,7.575195363289772,5039.963386239901,665.3245420790223
topk,sparse,-,65536,384,6,softmax,0,float32,forward,0.13777600288391112,1.6784442138671876,12.182413328404007,2374.5478541401626,194.91604743074723
topk,sparse,-,65536,384,6,softmax,0,float32,backward_raw,0.06015744209289551,0.5021529769897461,8.34731264361803,5438.324845906913,651.5060688501712
topk,sparse,-,65536,512,10,softmax,0,float32,forward,0.42813697814941404,1.9370137023925782,4.524284986466613,1018.85059750146,225.19593715893757
topk,sparse,-,65536,512,10,softmax,0,float32,backward_raw,0.07965087890625,0.6582422637939453,8.264092911877395,5476.494697734866,662.6855186809297
topk,sparse,-,65536,512,22,softmax,0,float32,forward,0.41602718353271484,1.9614813232421875,4.714791246538686,1048.5074852463295,222.38683123374338
topk,sparse,-,65536,512,22,softmax,0,float32,backward_raw,0.07940383911132813,0.6582758331298828,8.29022677615055,5493.533069457954,662.6517244693273
topk,sparse,-,65536,896,16,softmax,0,float32,forward,0.7150902557373047,2.4115110778808595,3.372317072611253,1067.506264944028,316.5497911254936
topk,sparse,-,65536,896,16,softmax,0,float32,backward_raw,0.12992992401123046,1.1230425262451171,8.643447880012976,5875.192599466301,679.7278911176219
topk,sparse,-,65536,2304,16,softmax,0,float32,forward,1.8593154907226563,3.8264505004882814,2.057988824156498,1055.729531536937,512.9908963279457
topk,sparse,-,65536,2304,16,softmax,0,float32,backward_raw,0.3751113510131836,2.8132562255859375,7.499789643761176,5232.937544273383,697.7445758930704
topk,sparse,-,65536,2304,36,softmax,0,float32,forward,1.9166000366210938,4.215576171875,2.1995075087794165,1024.1752240914032,465.63843042288755
topk,sparse,-,65536,2304,36,softmax,0,float32,backward_raw,0.3750041580200195,2.81375244140625,7.503256647239731,5234.433352323548,697.6215260141969
topk,sparse,-,262144,256,8,softmax,0,float32,forward,0.5162432098388672,3.7227606201171874,7.211253434750565,1689.9306671216136,234.34631474438922
topk,sparse,-,262144,256,8,softmax,0,float32,backward_raw,0.15540736198425292,1.2932330322265626,8.321568654885237,5613.731684657255,674.6001766579999
topk,sparse,-,262144,384,6,softmax,0,float32,forward,0.5314995193481445,6.5317041015625,12.289200392078026,2462.1336433285123,200.34937707710213
topk,sparse,-,262144,384,6,softmax,0,float32,backward_raw,0.22190847396850585,1.9088319396972657,8.60188845230027,5897.128778352669,685.5621077922361
topk,sparse,-,262144,512,10,softmax,0,float32,forward,1.677751007080078,6.722797241210937,4.007029179443706,1039.9817712144697,259.53935562776456
topk,sparse,-,262144,512,10,softmax,0,float32,backward_raw,0.2985980796813965,2.5232447814941406,8.450304784901622,5843.408188899708,691.5026543587252
