kernel,output_mode,index_dtype,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,fused_gbps,ref_gbps
topk,dense,int16,4096,256,8,softmax,0,float32,forward,0.012794560194015503,0.08475392341613769,6.6242154580491395,988.5801315715529,160.83607047982957
topk,dense,int16,4096,384,6,softmax,0,float32,forward,0.012462079524993896,0.12848447799682616,10.310035154176171,1518.4881433349117,159.1416513402116
topk,dense,int16,4096,512,10,softmax,0,float32,forward,0.03326751947402954,0.15244895935058594,4.5825165735484426,758.9307648774289,178.83346738565464
topk,dense,int16,4096,512,22,softmax,0,float32,forward,0.03211616039276123,0.15246560096740722,4.74731721048983,789.1991972275998,178.8139477168233
topk,dense,int16,4096,896,16,softmax,0,float32,forward,0.059520320892333986,0.17248895645141601,2.8979843163720576,742.1207301603965,276.5986239440104
topk,dense,int16,4096,2304,16,softmax,0,float32,forward,0.14905152320861817,0.255707836151123,1.715566742603661,760.6583116987865,479.7795556311941
topk,dense,int16,4096,2304,36,softmax,0,float32,forward,0.15115519523620605,0.2754070472717285,1.822015094098205,751.1559217172287,445.46206502462974
topk,dense,int16,16384,256,8,softmax,0,float32,forward,0.0356108808517456,0.24985471725463868,7.016246475194705,1420.73969500027,218.23062857936773
topk,dense,int16,16384,384,6,softmax,0,float32,forward,0.03573375940322876,0.42416255950927734,11.870079347737246,2118.27922010245,192.8244871367792
topk,dense,int16,16384,512,10,softmax,0,float32,forward,0.10681632041931152,0.4048233413696289,3.7899015785273216,945.4639104170232,269.381463111903
topk,dense,int16,16384,512,22,softmax,0,float32,forward,0.10438783645629883,0.4096713638305664,3.9245124502802793,971.2261068122024,266.1936215905541
topk,dense,int16,16384,896,16,softmax,0,float32,forward,0.18282848358154297,0.5164742279052734,2.824911183354654,966.3978639367592,369.5069796106112
topk,dense,int16,16384,2304,16,softmax,0,float32,forward,0.4854054260253906,0.9480147552490235,1.9530369963343481,934.2893500664696,517.6433861212367
topk,dense,int16,16384,2304,36,softmax,0,float32,forward,0.49810783386230467,1.0294214630126952,2.0666638688064984,911.7794363490132,476.7081177458878
topk,dense,int16,65536,256,8,softmax,0,float32,forward,0.13064096450805665,0.9586486053466797,7.338039863350517,1549.0942581606514,227.51173556563649
topk,dense,int16,65536,384,6,softmax,0,float32,forward,0.1336835193634033,1.678705291748047,12.557309231100351,2264.8739458821196,194.88573343289494
topk,dense,int16,65536,512,10,softmax,0,float32,forward,0.42678974151611326,1.9368389892578124,4.538157319286663,946.5173707431966,225.2162510251576
topk,dense,int16,65536,512,22,softmax,0,float32,forward,0.41248512268066406,1.9618284606933594,4.756119318786096,983.1548962650871,222.34748080157493
topk,dense,int16,65536,896,16,softmax,0,float32,forward,0.7064041900634765,2.412606658935547,3.4153345816348475,1000.4756964090109,316.40604371737885
topk,dense,int16,65536,2304,16,softmax,0,float32,forward,1.8500764465332031,3.8265676879882813,2.0683294980371,980.5197419810747,512.9751861339637
topk,dense,int16,65536,2304,36,softmax,0,float32,forward,1.8987660217285156,4.2173941040039065,2.2211236433252894,956.7571250017579,465.43771428343183
topk,dense,int16,262144,256,8,softmax,0,float32,forward,0.506209602355957,3.722158203125,7.352998018610577,1599.1412810671543,234.3842427942878
topk,dense,int16,262144,384,6,softmax,0,float32,forward,0.5155519866943359,6.53206298828125,12.67003746831457,2349.14288230267,200.33836941678538
topk,dense,int16,262144,512,10,softmax,0,float32,forward,1.6682208251953126,6.733023071289063,4.036050245626667,968.610145368985,259.1451782543715
topk,dense,int16,262144,512,22,softmax,0,float32,forward,1.6028524780273437,6.850235595703125,4.273777961234349,1012.0376605066003,254.71101535463416
topk,dense,int16,262144,896,16,softmax,0,float32,forward,2.766233215332031,8.597329711914062,3.1079554913384713,1021.953203486742,355.1629883135186
topk,dense,int16,262144,2304,16,softmax,0,float32,forward,7.24037109375,14.2539892578125,1.9686821398031327,1002.1787317315292,550.8448860164901
topk,dense,int16,262144,2304,36,softmax,0,float32,forward,7.471957397460938,15.7109033203125,2.102648942518229,972.5204914135738,499.76356724495605
topk,dense,int16,4096,256,8,sigmoid,0,float32,forward,0.013416639566421508,0.10554719924926757,7.866887884014251,942.7433700802325,129.15063684264072
topk,dense,int16,4096,384,6,sigmoid,0,float32,forward,0.013885120153427124,0.1397923183441162,10.067778802015816,1362.8632515167178,146.26863794952305
topk,dense,int16,4096,512,10,sigmoid,0,float32,forward,0.03335743904113769,0.17508512496948242,5.248757998285199,756.884962567525,155.71269121092942
topk,dense,int16,4096,512,22,sigmoid,0,float32,forward,0.03384864091873169,0.17530847549438477,5.179188018664875,748.8054855984959,155.51430655657745
