kernel,output_mode,index_dtype,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,fused_gbps,ref_gbps,checkpoint,shape
topk,sparse,-,4096,256,8,softmax,0,float32,backward_raw,0.0049404799938201,0.0505094385147094,10.223589322877396,2759.14243495591,269.88001452501214,trace-back-3129,256/8
topk,sparse,-,4096,384,6,softmax,0,float32,backward_raw,0.0056425601243972,0.0507542419433593,8.99489607986779,3623.750841677405,402.86744944035735,trace-back-3129,384/6
topk,sparse,-,4096,512,10,softmax,0,float32,backward_raw,0.0067180800437927,0.0504281616210937,7.506335335746356,4058.149921150471,540.629979828495,trace-back-3129,512/10
topk,sparse,-,4096,512,22,softmax,0,float32,backward_raw,0.006732479929924,0.0509484815597534,7.567565308780425,4049.4700739951127,535.1087052128419,trace-back-3129,512/22
topk,sparse,-,4096,896,16,softmax,0,float32,backward_raw,0.0079705601930618,0.068536319732666,8.598682912190432,5985.803612841482,696.1302880881158,trace-back-3129,896/16
topk,sparse,-,4096,2304,16,softmax,0,float32,backward_raw,0.0342569589614868,0.1739839935302734,5.078792712624431,3581.269199578576,705.1418323643256,trace-back-3129,2304/16
topk,sparse,-,4096,2304,36,softmax,0,float32,backward_raw,0.0341846394538879,0.1746851158142089,5.110047044662963,3588.8455739160004,702.3116504698844,trace-back-3129,2304/36
topk,sparse,-,16384,256,8,softmax,0,float32,backward_raw,0.0115654397010803,0.0798502397537231,6.904211324214882,4714.559360411239,682.8527023609549,trace-back-3129,256/8
topk,sparse,-,16384,384,6,softmax,0,float32,backward_raw,0.0144419205188751,0.1141939163208007,7.907114304607412,5663.299967141111,716.2284177226513,trace-back-3129,384/6
topk,sparse,-,16384,512,10,softmax,0,float32,backward_raw,0.0234675192832946,0.1506243228912353,6.418416922254627,4646.929344493111,723.9992977677684,trace-back-3129,512/10
topk,sparse,-,16384,512,22,softmax,0,float32,backward_raw,0.0234761595726013,0.151341438293457,6.446601192389466,4645.219064163837,720.5687036523601,trace-back-3129,512/22
topk,sparse,-,16384,896,16,softmax,0,float32,backward_raw,0.0375561594963073,0.2752364730834961,7.328663973497026,5081.478898787934,693.3704311132714,trace-back-3129,896/16
topk,sparse,-,16384,2304,16,softmax,0,float32,backward_raw,0.1039375972747802,0.731957778930664,7.042281119849097,4721.424978707614,670.4397195107691,trace-back-3129,2304/16
topk,sparse,-,16384,2304,36,softmax,0,float32,backward_raw,0.1039424037933349,0.7320681762695312,7.043017570818131,4721.206649941523,670.3386158659118,trace-back-3129,2304/36
topk,sparse,-,65536,256,8,softmax,0,float32,backward_raw,0.0432748794555664,0.3278156661987305,7.575195363289772,5039.963386239901,665.3245420790223,trace-back-3129,256/8
topk,sparse,-,65536,384,6,softmax,0,float32,backward_raw,0.0601574420928955,0.5021529769897461,8.34731264361803,5438.324845906913,651.5060688501712,trace-back-3129,384/6
topk,sparse,-,65536,512,10,softmax,0,float32,backward_raw,0.07965087890625,0.6582422637939453,8.264092911877395,5476.494697734866,662.6855186809297,trace-back-3129,512/10
topk,sparse,-,65536,512,22,softmax,0,float32,backward_raw,0.0794038391113281,0.6582758331298828,8.29022677615055,5493.533069457954,662.6517244693273,trace-back-3129,512/22
topk,sparse,-,65536,896,16,softmax,0,float32,backward_raw,0.1299299240112304,1.1230425262451171,8.643447880012976,5875.192599466301,679.7278911176219,trace-back-3129,896/16
topk,sparse,-,65536,2304,16,softmax,0,float32,backward_raw,0.3751113510131836,2.813256225585937,7.499789643761176,5232.937544273383,697.7445758930704,trace-back-3129,2304/16
topk,sparse,-,65536,2304,36,softmax,0,float32,backward_raw,0.3750041580200195,2.81375244140625,7.503256647239731,5234.433352323548,697.6215260141969,trace-back-3129,2304/36
topk,sparse,-,262144,256,8,softmax,0,float32,backward_raw,0.1554073619842529,1.2932330322265626,8.321568654885237,5613.731684657255,674.6001766579999,trace-back-3129,256/8
topk,sparse,-,262144,384,6,softmax,0,float32,backward_raw,0.2219084739685058,1.9088319396972655,8.60188845230027,5897.128778352669,685.5621077922361,trace-back-3129,384/6
topk,sparse,-,262144,512,10,softmax,0,float32,backward_raw,0.2985980796813965,2.523244781494141,8.450304784901622,5843.408188899708,691.5026543587252,trace-back-3129,512/10
topk,sparse,-,262144,512,22,softmax,0,float32,backward_raw,0.2986108779907226,2.524401245117188,8.453815420601043,5843.157743416867,691.1858672922662,trace-back-3129,512/22
topk,sparse,-,262144,896,16,softmax,0,float32,backward_raw,0.4758697509765625,4.366913452148437,9.176698966863974,6416.573664818608,699.2246000427967,trace-back-3129,896/16
topk,sparse,-,262144,2304,16,softmax,0,float32,backward_raw,1.4432345581054689,11.158226318359375,7.731401840187888,5440.374916123794,703.6725070794641,trace-back-3129,2304/16
topk,sparse,-,262144,2304,36,softmax,0,float32,backward_raw,1.4432575988769532,11.203214111328125,7.762449420010481,5440.288063689877,700.846829309521,trace-back-3129,2304/36
topk,sparse,-,4096,256,8,sigmoid,0,float32,backward_raw,0.0054588800668716,0.0794176006317138,14.54833219613602,2497.121723322984,171.64316085566216,trace-back-3129,256/8
topk,sparse,-,4096,384,6,sigmoid,0,float32,backward_raw,0.006211199760437,0.0794710397720337,12.7947969534379,3291.993944590402,257.29161287751884,trace-back-3129,384/6
topk,sparse,-,4096,512,10,sigmoid,0,float32,backward_raw,0.0079743999242782,0.0807814407348632,10.130096496530374,3418.812231500603,337.49058882820805,trace-back-3129,512/10
topk,sparse,-,4096,512,22,sigmoid,0,float32,backward_raw,0.0084339201450347,0.0797443199157714,9.455190296379374,3232.539024696628,341.87984835529386,trace-back-3129,512/22
topk,sparse,-,4096,896,16,sigmoid,0,float32,backward_raw,0.0093379199504852,0.0977110385894775,10.463897646113375,5109.297172495125,488.2785884658266,trace-back-3129,896/16
topk,sparse,-,4096,2304,16,sigmoid,0,float32,backward_raw,0.0405148792266845,0.2346425628662109,5.791515792342948,3028.107064408975,522.8522502541532,trace-back-3129,2304/16
topk,sparse,-,4096,2304,36,sigmoid,0,float32,backward_raw,0.0427574396133422,0.2343728065490722,5.481450916343858,2869.287616598004,523.4540380618471,trace-back-3129,2304/36
topk,sparse,-,16384,256,8,sigmoid,0,float32,backward_raw,0.0136195194721221,0.1093433570861816,8.028429880363744,4003.515110177655,498.667257463332,trace-back-3129,256/8
topk,sparse,-,16384,384,6,sigmoid,0,float32,backward_raw,0.0163916802406311,0.1548374366760254,9.44609914316288,4989.661023112479,528.2245027804956,trace-back-3129,384/6
topk,sparse,-,16384,512,10,sigmoid,0,float32,backward_raw,0.0262335991859436,0.2039849662780761,7.77571406928313,4156.9554839593575,534.6075546142865,trace-back-3129,512/10
topk,sparse,-,16384,512,22,sigmoid,0,float32,backward_raw,0.0268678402900695,0.2049852752685547,7.629391609280846,4058.8265682190254,531.9987196989113,trace-back-3129,512/22
topk,sparse,-,16384,896,16,sigmoid,0,float32,backward_raw,0.0402425622940063,0.3648198318481445,9.06552195118252,4742.263442515027,523.109807471862,trace-back-3129,896/16
topk,sparse,-,16384,2304,16,sigmoid,0,float32,backward_raw,0.122772798538208,0.9338604736328124,7.6064118823697475,3997.087089672223,525.4891730142473,trace-back-3129,2304/16
topk,sparse,-,16384,2304,36,sigmoid,0,float32,backward_raw,0.130034875869751,0.934065628051758,7.183193138026768,3773.8611639199135,525.3737566851221,trace-back-3129,2304/36
topk,sparse,-,65536,256,8,sigmoid,0,float32,backward_raw,0.0495347213745117,0.431976318359375,8.72067726178127,4403.049052219483,504.8976037120452,trace-back-3129,256/8
topk,sparse,-,65536,384,6,sigmoid,0,float32,backward_raw,0.065316801071167,0.6467632293701172,9.901942819664816,5008.7528267580365,505.835361603066,trace-back-3129,384/6
topk,sparse,-,65536,512,10,sigmoid,0,float32,backward_raw,0.0880150413513183,0.8432080078125,9.580271677050913,4956.057615866428,517.3191098263352,trace-back-3129,512/10
topk,sparse,-,65536,512,22,sigmoid,0,float32,backward_raw,0.091374397277832,0.8425529479980469,9.22088651853089,4773.849447933119,517.7213100214695,trace-back-3129,512/22
topk,sparse,-,65536,896,16,sigmoid,0,float32,backward_raw,0.1389676761627197,1.4338957214355468,10.318196008088764,5493.099899764923,532.3701832625302,trace-back-3129,896/16
topk,sparse,-,65536,2304,16,sigmoid,0,float32,backward_raw,0.4492208099365234,3.581280212402344,7.972204611154127,4369.642341986272,548.1096578821606,trace-back-3129,2304/16
topk,sparse,-,65536,2304,36,sigmoid,0,float32,backward_raw,0.4800812911987304,3.581881103515625,7.460988730829128,4088.753942272331,548.0177078109531,trace-back-3129,2304/36
topk,sparse,-,262144,256,8,sigmoid,0,float32,backward_raw,0.182366714477539,1.665494079589844,9.132664830647986,4783.851233485098,523.8176722998901,trace-back-3129,256/8
topk,sparse,-,262144,384,6,sigmoid,0,float32,backward_raw,0.2420963287353515,2.4481443786621093,10.11227386821841,5405.380803731747,534.5366308481985,trace-back-3129,384/6
topk,sparse,-,262144,512,10,sigmoid,0,float32,backward_raw,0.332479362487793,3.228700866699219,9.710981284794064,5247.936145402293,540.4125485876255,trace-back-3129,512/10
topk,sparse,-,262144,512,22,sigmoid,0,float32,backward_raw,0.346295051574707,3.227851257324218,9.321101305508742,5038.565974494106,540.5547916871506,trace-back-3129,512/22
topk,sparse,-,262144,896,16,sigmoid,0,float32,backward_raw,0.5080099105834961,5.569436645507812,10.963244081421172,6010.617604866858,548.2517364593508,trace-back-3129,896/16
topk,sparse,-,262144,2304,16,sigmoid,0,float32,backward_raw,1.7374575805664063,14.2020458984375,8.174038927504448,4519.095703873447,552.8595770038909,trace-back-3129,2304/16
topk,sparse,-,262144,2304,36,sigmoid,0,float32,backward_raw,1.8568386840820312,14.193809814453124,7.644072657539524,4228.551007316868,553.1803786749921,trace-back-3129,2304/36
aux_loss,sparse,-,4096,256,8,softmax,0,float32,forward,0.011605759859085,0.0760502386093139,6.552801327332412,1174.545067751782,179.24319830247757,trace-back-3129,256/8
aux_loss,sparse,-,4096,256,8,softmax,0,float32,backward_raw,0.0037775999307632,0.0229971194267272,6.087759383795003,3330.9276341122986,547.1516569756174,trace-back-3129,256/8
aux_loss,sparse,-,4096,384,6,softmax,0,float32,forward,0.0121260797977447,0.1050857639312744,8.666095365034513,1686.2194823922275,194.57661280715809,trace-back-3129,384/6
aux_loss,sparse,-,4096,384,6,softmax,0,float32,backward_raw,0.0042976000905036,0.0229920005798339,5.349962792172979,4391.8390735578805,820.9102089426045,trace-back-3129,384/6
aux_loss,sparse,-,4096,512,10,softmax,0,float32,forward,0.0329219198226928,0.1417424011230468,4.305411163335156,828.1101511342544,192.3417113297873,trace-back-3129,512/10
aux_loss,sparse,-,4096,512,10,softmax,0,float32,backward_raw,0.0054022401571273,0.02337984085083,4.327804794087906,4658.405266711027,1076.3898762427425,trace-back-3129,512/10
aux_loss,sparse,-,4096,512,22,softmax,0,float32,forward,0.0327747201919555,0.1415878391265869,4.32003197273181,831.8294051124071,192.5516779419557,trace-back-3129,512/22
aux_loss,sparse,-,4096,512,22,softmax,0,float32,backward_raw,0.0054102402925491,0.023030400276184,4.256816524009304,4651.516871562587,1092.7219543823635,trace-back-3129,512/22
aux_loss,sparse,-,4096,896,16,softmax,0,float32,forward,0.0581014394760131,0.1619599914550781,2.7875383624865657,821.1536311367441,294.5802081820503,trace-back-3129,896/16
aux_loss,sparse,-,4096,896,16,softmax,0,float32,backward_raw,0.0069356799125671,0.0286947202682495,4.1372613254911,6349.801685657546,1534.7838065084793,trace-back-3129,896/16
aux_loss,sparse,-,4096,2304,16,softmax,0,float32,forward,0.1595977592468261,0.2555228805541992,1.6010430331858223,768.7037247826506,480.1268353499854,trace-back-3129,2304/16
aux_loss,sparse,-,4096,2304,16,softmax,0,float32,backward_raw,0.0249187207221984,0.0743299198150634,2.982894693660888,4544.623669188452,1523.5615520878025,trace-back-3129,2304/16
aux_loss,sparse,-,4096,2304,36,softmax,0,float32,forward,0.1625472068786621,0.2764355278015136,1.7006476648218671,754.7554606187754,443.8047199493445,trace-back-3129,2304/36
aux_loss,sparse,-,4096,2304,36,softmax,0,float32,backward_raw,0.024889600276947,0.0745056009292602,2.993443048511632,4549.940808205332,1519.9690571923877,trace-back-3129,2304/36
aux_loss,sparse,-,16384,256,8,softmax,0,float32,forward,0.0353958392143249,0.2391363143920898,6.756057200511569,1540.4621901981336,228.0120112188348,trace-back-3129,256/8
aux_loss,sparse,-,16384,256,8,softmax,0,float32,backward_raw,0.0084236800670623,0.0309814405441284,3.677898530984059,5975.018946505687,1624.5741681478662,trace-back-3129,256/8
aux_loss,sparse,-,16384,384,6,softmax,0,float32,forward,0.0364204788208007,0.3588019180297851,9.851652961379056,2245.685137815596,227.9500857997377,trace-back-3129,384/6
aux_loss,sparse,-,16384,384,6,softmax,0,float32,backward_raw,0.0105139195919036,0.0505660820007324,4.809441574926174,7180.7161297046,1493.0457139017904,trace-back-3129,384/6
aux_loss,sparse,-,16384,512,10,softmax,0,float32,forward,0.1116262435913086,0.3825196838378906,3.426789897529744,976.9378641752572,285.08834605806976,trace-back-3129,512/10
aux_loss,sparse,-,16384,512,10,softmax,0,float32,backward_raw,0.0162540805339813,0.0671280002593994,4.129916799603606,6193.109218915826,1499.572393204204,trace-back-3129,512/10
aux_loss,sparse,-,16384,512,22,softmax,0,float32,forward,0.111755838394165,0.3859206390380859,3.453248121829092,975.8049831398675,282.5759831653829,trace-back-3129,512/22
aux_loss,sparse,-,16384,512,22,softmax,0,float32,backward_raw,0.0161919999122619,0.0670998382568359,4.144011772506386,6216.853788627381,1500.2017682172984,trace-back-3129,512/22
aux_loss,sparse,-,16384,896,16,softmax,0,float32,forward,0.1882060813903808,0.4905718231201172,2.606567330322144,1013.9992851992604,389.0171082110282,trace-back-3129,896/16
aux_loss,sparse,-,16384,896,16,softmax,0,float32,backward_raw,0.0315977597236633,0.1182307243347167,3.74174388844962,5575.103094035952,1489.9745306582113,trace-back-3129,896/16
aux_loss,sparse,-,16384,2304,16,softmax,0,float32,forward,0.5222380828857421,0.9993417358398438,1.9135749930716648,939.6740377268984,491.0568131006647,trace-back-3129,2304/16
aux_loss,sparse,-,16384,2304,16,softmax,0,float32,backward_raw,0.0775011205673217,0.3125910377502441,4.033374426873095,5844.881063448782,1449.1293008916286,trace-back-3129,2304/16
aux_loss,sparse,-,16384,2304,36,softmax,0,float32,forward,0.531558723449707,1.0732745361328124,2.01910812255602,923.1972806602436,457.2302346501157,trace-back-3129,2304/36
aux_loss,sparse,-,16384,2304,36,softmax,0,float32,backward_raw,0.0775171184539794,0.3125958442687988,4.032604029965088,5843.6748041521805,1449.1070188715678,trace-back-3129,2304/36
