model,format,ab_dtype,sf_dtype,sf_vec_size,direction,activation,ep,total_experts,local_experts,hidden_size,expert_intermediate_size,local_tokens,expert_tokens,min_expert_tokens,max_expert_tokens,padded_expert_tokens,padded_tokens,padding_ratio,median_tflops,mean_tflops,min_tflops,p25_tflops,p75_tflops,situ_throughput_retention,samples,seed,jitter,dynamic_sched,vector_f32,mma_tiler_m
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,forward,swiglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,5499.796139206208,5571.277912906814,4991.680307360473,5279.8039376565275,5872.0255940114075,0.8872726897323302,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,forward,situglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,4879.818913412977,5007.004481060668,4468.584389112338,4594.434755281197,5255.249727124865,0.8872726897323302,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,backward,dswiglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,3064.4760635823623,3034.569537788582,2753.9846515251593,2960.590545271805,3077.8104734738263,0.9252447824031219,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,backward,dsituglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,2835.3904886288383,2809.273767326164,2550.5247749718783,2765.821751834568,2858.3058746080133,0.9252447824031219,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,forward,swiglu,64,896,14,3584,3072,131072,"[10062, 9089, 9959, 9049, 8531, 10191, 9644, 9115, 9812, 9832, 8788, 8663, 8642, 9695]",8531,10191,"[10240, 9216, 9984, 9216, 8704, 10240, 9728, 9216, 9984, 9984, 8960, 8704, 8704, 9728]",132608,1.01171875,5676.697909824361,5747.590206609693,5205.286397844563,5502.700430817299,6237.697631858,0.8741125191491872,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,forward,situglu,64,896,14,3584,3072,131072,"[10062, 9089, 9959, 9049, 8531, 10191, 9644, 9115, 9812, 9832, 8788, 8663, 8642, 9695]",8531,10191,"[10240, 9216, 9984, 9216, 8704, 10240, 9728, 9216, 9984, 9984, 8960, 8704, 8704, 9728]",132608,1.01171875,4962.072710405498,4927.789798735675,4582.15249797468,4867.773331855113,5046.1071757738455,0.8741125191491872,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,backward,dswiglu,64,896,14,3584,3072,131072,"[10062, 9089, 9959, 9049, 8531, 10191, 9644, 9115, 9812, 9832, 8788, 8663, 8642, 9695]",8531,10191,"[10240, 9216, 9984, 9216, 8704, 10240, 9728, 9216, 9984, 9984, 8960, 8704, 8704, 9728]",132608,1.01171875,3122.2102982990123,3114.3738924460063,2955.88990986684,3084.793630959634,3145.294265543797,0.9270454781141202,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,backward,dsituglu,64,896,14,3584,3072,131072,"[10062, 9089, 9959, 9049, 8531, 10191, 9644, 9115, 9812, 9832, 8788, 8663, 8642, 9695]",8531,10191,"[10240, 9216, 9984, 9216, 8704, 10240, 9728, 9216, 9984, 9984, 8960, 8704, 8704, 9728]",132608,1.01171875,2894.4309387594376,2898.061934999296,2780.6100968537066,2872.6082781360938,2926.4087170105076,0.9270454781141202,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,forward,swiglu,64,896,14,3584,3072,262144,"[18119, 18397, 18763, 18477, 20132, 17311, 19214, 19412, 20397, 17036, 19138, 19076, 18579, 18093]",17036,20397,"[18176, 18432, 18944, 18688, 20224, 17408, 19456, 19456, 20480, 17152, 19200, 19200, 18688, 18176]",263680,1.005859375,5375.768652812394,5660.444742828889,5135.082816265575,5311.01713596578,5784.5092729370845,0.899083469879382,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,forward,situglu,64,896,14,3584,3072,262144,"[18119, 18397, 18763, 18477, 20132, 17311, 19214, 19412, 20397, 17036, 19138, 19076, 18579, 18093]",17036,20397,"[18176, 18432, 18944, 18688, 20224, 17408, 19456, 19456, 20480, 17152, 19200, 19200, 18688, 18176]",263680,1.005859375,4833.264733639378,4860.3600634900795,4555.672032858981,4743.923779398283,5025.776142066427,0.899083469879382,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,backward,dswiglu,64,896,14,3584,3072,262144,"[18119, 18397, 18763, 18477, 20132, 17311, 19214, 19412, 20397, 17036, 19138, 19076, 18579, 18093]",17036,20397,"[18176, 18432, 18944, 18688, 20224, 17408, 19456, 19456, 20480, 17152, 19200, 19200, 18688, 18176]",263680,1.005859375,3220.032158078798,3192.787411322856,2975.4445805590517,3138.545391197801,3244.735111014376,0.9389389607209694,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,backward,dsituglu,64,896,14,3584,3072,262144,"[18119, 18397, 18763, 18477, 20132, 17311, 19214, 19412, 20397, 17036, 19138, 19076, 18579, 18093]",17036,20397,"[18176, 18432, 18944, 18688, 20224, 17408, 19456, 19456, 20480, 17152, 19200, 19200, 18688, 18176]",263680,1.005859375,3023.413647994607,3019.318447811137,2899.55712105749,3002.376062004992,3044.746740520174,0.9389389607209694,120,1234,0.1,True,False,256
kimi-k3,mxfp8,torch.float8_e4m3fn,torch.float8_e8m0fnu,32,forward,swiglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,2594.6623715606092,2723.6429277795132,2474.313535178897,2586.4777670060676,3094.2551884822333,0.989526006830151,120,1234,0.1,True,False,256
kimi-k3,mxfp8,torch.float8_e4m3fn,torch.float8_e8m0fnu,32,forward,situglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,2567.4858956028193,2548.9535827506957,2445.579558674404,2494.5635775992414,2583.9533831701483,0.989526006830151,120,1234,0.1,True,False,256
kimi-k3,mxfp8,torch.float8_e4m3fn,torch.float8_e8m0fnu,32,backward,dswiglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,1713.2715833659836,1700.434503181887,1450.1325254952665,1634.225152212425,1797.9075794358064,0.9150957928896959,120,1234,0.1,True,False,256
kimi-k3,mxfp8,torch.float8_e4m3fn,torch.float8_e8m0fnu,32,backward,dsituglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,1567.8076180156795,1573.7948654812058,1448.6815203396625,1532.8464146879387,1618.4685656654792,0.9150957928896959,120,1234,0.1,True,False,256
kimi-k3,mxfp8,torch.float8_e4m3fn,torch.float8_e8m0fnu,32,forward,swiglu,64,896,14,3584,3072,131072,"[10062, 9089, 9959, 9049, 8531, 10191, 9644, 9115, 9812, 9832, 8788, 8663, 8642, 9695]",8531,10191,"[10240, 9216, 9984, 9216, 8704, 10240, 9728, 9216, 9984, 9984, 8960, 8704, 8704, 9728]",132608,1.01171875,2626.843415209438,2716.629267341807,2479.2501618939737,2524.554251746789,2647.573899800444,0.9487626568757367,120,1234,0.1,True,False,256
