model,format,ab_dtype,sf_dtype,sf_vec_size,direction,activation,ep,total_experts,local_experts,hidden_size,expert_intermediate_size,local_tokens,expert_tokens,min_expert_tokens,max_expert_tokens,padded_expert_tokens,padded_tokens,padding_ratio,median_tflops,mean_tflops,min_tflops,p25_tflops,p75_tflops,situ_throughput_retention,samples,seed,jitter,dynamic_sched,vector_f32,mma_tiler_m
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,backward,dswiglu,64,896,14,3584,3072,262144,"[18119, 18397, 18763, 18477, 20132, 17311, 19214, 19412, 20397, 17036, 19138, 19076, 18579, 18093]",17036,20397,"[18176, 18432, 18944, 18688, 20224, 17408, 19456, 19456, 20480, 17152, 19200, 19200, 18688, 18176]",263680,1.005859375,3219.1479057383485,3186.398940479116,2938.247338809812,3194.9147063835885,3249.5001780992666,0.9363570558806156,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,backward,dsituglu,64,896,14,3584,3072,262144,"[18119, 18397, 18763, 18477, 20132, 17311, 19214, 19412, 20397, 17036, 19138, 19076, 18579, 18093]",17036,20397,"[18176, 18432, 18944, 18688, 20224, 17408, 19456, 19456, 20480, 17152, 19200, 19200, 18688, 18176]",263680,1.005859375,3014.2718554614094,3009.630388770429,2911.2343731590167,2995.8324657644876,3041.0725970541903,0.9363570558806156,120,1234,0.1,True,False,256
kimi-k3,mxfp8,torch.float8_e4m3fn,torch.float8_e8m0fnu,32,forward,swiglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,2599.3581125335836,2717.9632737558045,2491.1432955807245,2553.758262083605,3109.3105684023794,0.9893558908085199,120,1234,0.1,True,False,256
kimi-k3,mxfp8,torch.float8_e4m3fn,torch.float8_e8m0fnu,32,forward,situglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,2571.6902609560166,2576.313098680207,2461.7577037215838,2554.1807284419788,2593.2822103195736,0.9893558908085199,120,1234,0.1,True,False,256
kimi-k3,mxfp8,torch.float8_e4m3fn,torch.float8_e8m0fnu,32,backward,dswiglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,1708.6587255505642,1687.3724112941318,1447.5046097347574,1633.4184391729716,1760.469707755549,0.9226335407821995,120,1234,0.1,True,False,256
kimi-k3,mxfp8,torch.float8_e4m3fn,torch.float8_e8m0fnu,32,backward,dsituglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,1576.4658499431175,1566.3825331181492,1403.947946516529,1526.5331958331278,1611.5441069603185,0.9226335407821995,120,1234,0.1,True,False,256
kimi-k3,mxfp8,torch.float8_e4m3fn,torch.float8_e8m0fnu,32,forward,swiglu,64,896,14,3584,3072,131072,"[10062, 9089, 9959, 9049, 8531, 10191, 9644, 9115, 9812, 9832, 8788, 8663, 8642, 9695]",8531,10191,"[10240, 9216, 9984, 9216, 8704, 10240, 9728, 9216, 9984, 9984, 8960, 8704, 8704, 9728]",132608,1.01171875,2630.421098469371,2672.806305059543,2475.987283328368,2534.088882173792,2642.6281992359573,0.9725908317503508,120,1234,0.1,True,False,256
kimi-k3,mxfp8,torch.float8_e4m3fn,torch.float8_e8m0fnu,32,forward,situglu,64,896,14,3584,3072,131072,"[10062, 9089, 9959, 9049, 8531, 10191, 9644, 9115, 9812, 9832, 8788, 8663, 8642, 9695]",8531,10191,"[10240, 9216, 9984, 9216, 8704, 10240, 9728, 9216, 9984, 9984, 8960, 8704, 8704, 9728]",132608,1.01171875,2558.323444013997,2532.2767552121772,2391.6882944703334,2449.369937799315,2608.334544404704,0.9725908317503508,120,1234,0.1,True,False,256
kimi-k3,mxfp8,torch.float8_e4m3fn,torch.float8_e8m0fnu,32,backward,dswiglu,64,896,14,3584,3072,131072,"[10062, 9089, 9959, 9049, 8531, 10191, 9644, 9115, 9812, 9832, 8788, 8663, 8642, 9695]",8531,10191,"[10240, 9216, 9984, 9216, 8704, 10240, 9728, 9216, 9984, 9984, 8960, 8704, 8704, 9728]",132608,1.01171875,1764.0256024333917,1752.2018263342654,1462.289898254805,1706.07778765345,1827.5842176963401,0.9426181671618905,120,1234,0.1,True,False,256
kimi-k3,mxfp8,torch.float8_e4m3fn,torch.float8_e8m0fnu,32,backward,dsituglu,64,896,14,3584,3072,131072,"[10062, 9089, 9959, 9049, 8531, 10191, 9644, 9115, 9812, 9832, 8788, 8663, 8642, 9695]",8531,10191,"[10240, 9216, 9984, 9216, 8704, 10240, 9728, 9216, 9984, 9984, 8960, 8704, 8704, 9728]",132608,1.01171875,1662.8025801924134,1649.4987282539357,1517.9956976482097,1623.919395864679,1686.8084545274273,0.9426181671618905,120,1234,0.1,True,False,256
