model,format,ab_dtype,sf_dtype,sf_vec_size,direction,activation,ep,total_experts,local_experts,hidden_size,expert_intermediate_size,local_tokens,expert_tokens,min_expert_tokens,max_expert_tokens,padded_expert_tokens,padded_tokens,padding_ratio,median_tflops,mean_tflops,min_tflops,p25_tflops,p75_tflops,situ_throughput_retention,samples,seed,jitter,dynamic_sched,vector_f32,mma_tiler_m
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,forward,swiglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,5520.603376099401,5638.097528324372,5065.079717218248,5389.435226681348,6052.685454362944,0.9522316970585838,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,forward,situglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,5256.89352161048,5168.849733527148,4439.254549678537,4659.353470412584,5693.779422467193,0.9522316970585838,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,backward,dswiglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,3063.361741049491,3020.801575434897,2715.4073061675854,2917.156594243046,3077.8104734738263,0.9260914483363194,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,backward,dsituglu,64,896,14,3584,3072,65536,"[4856, 4976, 4690, 4741, 4683, 4905, 4492, 4569, 4868, 4441, 4349, 4563, 4996, 4407]",4349,4996,"[4864, 5120, 4864, 4864, 4864, 5120, 4608, 4608, 5120, 4608, 4352, 4608, 5120, 4608]",67328,1.02734375,2836.953111546592,2803.6355840778247,2384.8398057034174,2807.7256869235957,2851.0943805159804,0.9260914483363194,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,forward,swiglu,64,896,14,3584,3072,131072,"[10062, 9089, 9959, 9049, 8531, 10191, 9644, 9115, 9812, 9832, 8788, 8663, 8642, 9695]",8531,10191,"[10240, 9216, 9984, 9216, 8704, 10240, 9728, 9216, 9984, 9984, 8960, 8704, 8704, 9728]",132608,1.01171875,5710.700381936069,5745.833710466566,5205.435178039473,5464.639162244858,6160.215739714083,0.8492928785152507,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,forward,situglu,64,896,14,3584,3072,131072,"[10062, 9089, 9959, 9049, 8531, 10191, 9644, 9115, 9812, 9832, 8788, 8663, 8642, 9695]",8531,10191,"[10240, 9216, 9984, 9216, 8704, 10240, 9728, 9216, 9984, 9984, 8960, 8704, 8704, 9728]",132608,1.01171875,4850.057165712626,4894.906221725685,4639.816941058342,4790.721885503996,5022.222854612111,0.8492928785152507,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,backward,dswiglu,64,896,14,3584,3072,131072,"[10062, 9089, 9959, 9049, 8531, 10191, 9644, 9115, 9812, 9832, 8788, 8663, 8642, 9695]",8531,10191,"[10240, 9216, 9984, 9216, 8704, 10240, 9728, 9216, 9984, 9984, 8960, 8704, 8704, 9728]",132608,1.01171875,3116.9844346901523,3115.8470471438827,2960.4930892157818,3081.7722433881604,3146.378833752159,0.9373560696204117,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,backward,dsituglu,64,896,14,3584,3072,131072,"[10062, 9089, 9959, 9049, 8531, 10191, 9644, 9115, 9812, 9832, 8788, 8663, 8642, 9695]",8531,10191,"[10240, 9216, 9984, 9216, 8704, 10240, 9728, 9216, 9984, 9984, 8960, 8704, 8704, 9728]",132608,1.01171875,2921.724278769162,2919.001165925921,2748.1186888714537,2890.3511282502486,2947.1071307333655,0.9373560696204117,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,forward,swiglu,64,896,14,3584,3072,262144,"[18119, 18397, 18763, 18477, 20132, 17311, 19214, 19412, 20397, 17036, 19138, 19076, 18579, 18093]",17036,20397,"[18176, 18432, 18944, 18688, 20224, 17408, 19456, 19456, 20480, 17152, 19200, 19200, 18688, 18176]",263680,1.005859375,5398.800645732348,5521.155209799349,5095.784435345168,5325.9831314387275,5642.1402237759585,0.9134917056502267,120,1234,0.1,True,False,256
kimi-k3,mxfp4,torch.float4_e2m1fn_x2,torch.float8_e8m0fnu,32,forward,situglu,64,896,14,3584,3072,262144,"[18119, 18397, 18763, 18477, 20132, 17311, 19214, 19412, 20397, 17036, 19138, 19076, 18579, 18093]",17036,20397,"[18176, 18432, 18944, 18688, 20224, 17408, 19456, 19456, 20480, 17152, 19200, 19200, 18688, 18176]",263680,1.005859375,4931.759610335588,4887.29715836647,4506.229615473397,4761.788977162162,5043.657601156711,0.9134917056502267,120,1234,0.1,True,False,256
