kernel,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,fused_gbps,ref_gbps
topk,128,8,4,pre-softmax,0,float32,forward,0.033141119480133055,0.09862848281860352,2.976015426326436,0.4016762320892654,0.1349711525471125
topk,128,8,4,pre-softmax,0,float32,backward_raw,0.008657919764518738,0.06518943786621094,7.529457379977762,1.5375517863487576,0.20420485949457604
topk,128,8,4,pre-softmax,4,float32,forward,0.07863135814666748,0.18734495162963868,2.3825730096152316,0.16929632545796466,0.0710560913662431
topk,128,8,4,pre-softmax,4,float32,backward_raw,0.008615360260009766,0.06498271942138673,7.542658398514035,1.5451472252171277,0.20485446159427476
topk,128,8,8,pre-softmax,0,float32,forward,0.031057920455932617,0.09559040069580078,3.077810725654728,0.42861852321658483,0.1392608452637733
topk,128,8,8,pre-softmax,0,float32,backward_raw,0.008541439771652221,0.06514143943786621,7.62651744663248,1.5585194482293914,0.20435532458101988
topk,128,256,4,pre-softmax,0,float32,forward,0.03105087995529175,0.09602208137512207,3.0924109562556152,13.718902672431446,4.436312917815655
topk,128,256,4,pre-softmax,0,float32,backward_raw,0.008694400191307067,0.06523776054382324,7.503422790343834,48.9952142329395,6.529715251550469
topk,128,256,4,pre-softmax,4,float32,forward,0.08408415794372559,0.22525535583496092,2.6789274144330015,5.066162407014831,1.8911159666814228
topk,128,256,4,pre-softmax,4,float32,backward_raw,0.008756160140037536,0.0651904010772705,7.445090089111943,48.64963559222592,6.534458953475053
topk,128,256,8,pre-softmax,0,float32,forward,0.031163840293884276,0.0962441635131836,3.0883280945343237,13.669175428408188,4.4260761842628344
topk,128,256,8,pre-softmax,0,float32,backward_raw,0.008705599904060364,0.06507936000823974,7.475574426282351,48.9321821235223,6.545608314926051
topk,128,256,8,pre-softmax,4,float32,forward,0.08429951667785644,0.2056528091430664,2.4395490893376226,5.053219956501795,2.0713745743373524
topk,128,256,8,pre-softmax,4,float32,backward_raw,0.008730559945106506,0.06496319770812989,7.440897046304788,48.79228854487904,6.55731267900148
topk,128,256,22,pre-softmax,0,float32,forward,0.03088223934173584,0.09578944206237792,3.1017647717315358,13.793818359030181,4.447087182349386
topk,128,256,22,pre-softmax,0,float32,backward_raw,0.008684160113334656,0.0652617597579956,7.515034143346252,49.05298778933098,6.527314028607852
topk,128,256,36,pre-softmax,0,float32,forward,0.03125312089920044,0.09065055847167969,2.900528198897373,13.630126775943777,4.699187817282807
topk,128,256,36,pre-softmax,0,float32,backward_raw,0.008684160113334656,0.06522528171539306,7.5108336170862025,49.05298778933098,6.5309645094176485
topk,128,256,36,pre-softmax,4,float32,forward,0.08011712074279785,0.20091840744018555,2.5078086378715394,5.317015839442706,2.12018403603372
topk,128,256,36,pre-softmax,4,float32,backward_raw,0.008784639835357665,0.06534560203552246,7.438620508095301,48.49191406635012,6.518939098126776
topk,128,512,4,pre-softmax,0,float32,forward,0.0311680006980896,0.09599007606506348,3.0797636651409293,27.33470164649413,8.875584174165292
topk,128,512,4,pre-softmax,0,float32,backward_raw,0.00866208016872406,0.06575071811676025,7.590638372773852,98.35605113378863,12.957546691536868
topk,128,512,4,pre-softmax,4,float32,forward,0.10256352424621581,0.19628095626831055,1.9137501144862672,8.30673483835004,4.340553542216208
topk,128,512,4,pre-softmax,4,float32,backward_raw,0.008822399973869324,0.06555071830749512,7.430032474343364,96.5687344173248,12.99708106940127
topk,128,512,8,pre-softmax,0,float32,forward,0.031105918884277342,0.09617759704589844,3.0919387851458695,27.38925678966622,8.858279122875349
topk,128,512,8,pre-softmax,0,float32,backward_raw,0.008644160032272339,0.06521696090698242,7.544626737994169,98.559952247441,13.063595545568951
topk,128,512,8,pre-softmax,4,float32,forward,0.09221376419067383,0.20589567184448243,2.232808449492901,9.239054575826165,4.137862599868104
topk,128,512,8,pre-softmax,4,float32,backward_raw,0.008812159895896912,0.06499807834625244,7.375953127736213,96.68095110220258,13.10758751145635
topk,128,512,22,pre-softmax,0,float32,forward,0.03122368097305298,0.09674688339233399,3.098509861019577,27.285956474359164,8.806154473680008
topk,128,512,22,pre-softmax,0,float32,backward_raw,0.008706560134887695,0.06528416156768799,7.498272630782223,97.85357096267151,13.050148451652577
topk,128,512,36,pre-softmax,0,float32,forward,0.03124351978302002,0.0900169563293457,2.8811400557458127,27.268630612579724,9.464527959409097
