kernel,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,fused_gbps,ref_gbps
topk,128,8,8,pre-softmax,0,float32,forward,0.018531839847564697,0.05968639850616455,3.220748668082627,0.7183312671326237,0.22303238816838825
topk,128,8,8,pre-softmax,0,float32,backward_raw,0.005285120010375977,0.04080575942993164,7.720876602578561,2.5187696729431504,0.32622845857968386
topk,128,256,8,pre-softmax,0,float32,forward,0.01854848027229309,0.06021632194519043,3.246428875099754,22.965978546302594,7.074228153418859
topk,128,256,8,pre-softmax,0,float32,backward_raw,0.005341439843177796,0.04064767837524414,7.609872912293536,79.75078115764538,10.479909727376684
topk,128,256,22,pre-softmax,0,float32,forward,0.018262399435043333,0.05990719795227051,3.2803574451074513,23.32574104050031,7.110731507412375
topk,128,256,22,pre-softmax,0,float32,backward_raw,0.005218880176544189,0.04046656131744385,7.7538782168859415,81.62364062592367,10.526814884475293
topk,128,256,36,pre-softmax,0,float32,forward,0.018504960536956785,0.056501121520996095,3.0532959747823343,23.019989648140843,7.539390166648324
topk,128,256,36,pre-softmax,0,float32,backward_raw,0.0053036797046661375,0.04048096179962158,7.632618116815526,80.31857572870067,10.523070131302614
topk,128,512,8,pre-softmax,0,float32,forward,0.02138848066329956,0.05976448059082031,2.794236838588074,39.8330303779777,14.255423816581455
topk,128,512,8,pre-softmax,0,float32,backward_raw,0.005332800149917602,0.04051231861114502,7.596819207967316,159.75997150636965,21.02985040618292
topk,128,512,22,pre-softmax,0,float32,forward,0.020810561180114748,0.05999904155731201,2.88310541162356,40.939213153660006,14.19969349320667
topk,128,512,22,pre-softmax,0,float32,backward_raw,0.005431039929389953,0.0405452823638916,7.46547307532793,156.8701410920575,21.01275291052694
topk,128,512,36,pre-softmax,0,float32,forward,0.02067647933959961,0.05667679786682129,2.7411241989478277,41.204693797570755,15.032041894849952
topk,128,512,36,pre-softmax,0,float32,backward_raw,0.005356799960136414,0.040520000457763675,7.564217584994869,159.04420667937433,21.025863533443324
topk,128,2304,8,pre-softmax,0,float32,forward,0.05140511989593506,0.061571202278137206,1.197764004884775,74.58120918230107,62.26703163406201
topk,128,2304,8,pre-softmax,0,float32,backward_raw,0.008230080008506774,0.04033055782318115,4.900384659869003,465.83459650905587,95.06082253581876
topk,128,2304,22,pre-softmax,0,float32,forward,0.05211775779724121,0.06756415843963623,1.2963750033623407,73.5614148044362,56.74393182037897
topk,128,2304,22,pre-softmax,0,float32,backward_raw,0.008244159817695617,0.04037536144256592,4.8974501144316145,465.039019715611,94.95533570525858
