kernel,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,tokens_per_sec
topk,128,8,8,pre-softmax,0,float32,forward,0.017332160472869874,0.05832608222961426,3.365193988418951,7385115.098625996
topk,128,256,8,pre-softmax,0,float32,forward,0.018513920307159423,0.05929567813873291,3.2027618761977164,6913716.699455694
topk,128,256,8,pre-softmax,4,float32,forward,0.022695040702819823,0.12636544227600097,5.567976014262017,5639998.697340789
topk,128,256,32,pre-softmax,0,float32,forward,0.17840608596801757,0.058277440071105954,0.32665612136994704,717464.313537747
topk,128,256,32,pre-softmax,4,float32,forward,0.20078847885131837,0.12624192237854004,0.6287309067768813,637486.7757964468
topk,128,256,36,pre-softmax,0,float32,forward,0.2232784080505371,0.05771008014678955,0.25846690976821807,573275.3163083657
topk,128,256,36,pre-softmax,4,float32,forward,0.2498134422302246,0.12259776115417481,0.49075726293859884,512382.3556381605
topk,128,512,8,pre-softmax,0,float32,forward,0.03006592035293579,0.05867104053497314,1.9514134224480575,4257311.883269904
topk,128,512,8,pre-softmax,4,float32,forward,0.0370195198059082,0.12706975936889647,3.4325069594397206,3457635.3413306996
topk,128,512,32,pre-softmax,0,float32,forward,0.3461027145385742,0.05883008003234863,0.16997867269195266,369832.40703746054
topk,128,512,32,pre-softmax,4,float32,forward,0.38294464111328125,0.1259183979034424,0.32881619008266444,334251.96819018945
topk,128,512,36,pre-softmax,0,float32,forward,0.43404350280761717,0.05786303997039795,0.13331161414952641,294901.31558710133
topk,128,512,36,pre-softmax,4,float32,forward,0.47765953063964844,0.12210880279541016,0.25563983331786666,267973.2985304225
topk,128,2304,8,pre-softmax,0,float32,forward,0.11286848068237304,0.06536191940307617,0.5790980706740736,1134063.2852160833
topk,128,2304,8,pre-softmax,4,float32,forward,0.12706208229064941,0.12946463584899903,1.018908501380088,1007381.5704295255
topk,128,2304,32,pre-softmax,0,float32,forward,1.4954188537597657,0.06717376232147217,0.04491969734939788,85594.74803877443
topk,128,2304,32,pre-softmax,4,float32,forward,1.6291091918945313,0.13329983711242677,0.081823758515173,78570.54679750818
topk,128,2304,36,pre-softmax,0,float32,forward,1.8829104614257812,0.06901311874389648,0.0366523635391766,67979.86554446969
topk,128,2304,36,pre-softmax,4,float32,forward,2.0484243774414064,0.1334607982635498,0.06515290470729977,62487.05171136411
topk,8192,8,8,pre-softmax,0,float32,forward,0.016896640062332154,0.06383232116699218,3.7778115016661924,484830118.2826582
topk,8192,256,8,pre-softmax,0,float32,forward,0.041122241020202635,0.14736576080322267,3.5836023802988866,199210932.98333168
topk,8192,256,8,pre-softmax,4,float32,forward,0.05663968086242676,0.3524739074707031,6.22309133991828,144633583.29821298
topk,8192,256,32,pre-softmax,0,float32,forward,0.41198238372802737,0.15399104118347168,0.37378064515770604,19884345.35931031
topk,8192,256,32,pre-softmax,4,float32,forward,0.4811743927001953,0.36780128479003904,0.7643824990894819,17025012.395254746
topk,8192,256,36,pre-softmax,0,float32,forward,0.5139168167114258,0.18573087692260742,0.3614026061865551,15940322.895874348
topk,8192,256,36,pre-softmax,4,float32,forward,0.5963148880004883,0.4060486221313477,0.6809298749740678,13737708.322977997
topk,8192,512,8,pre-softmax,0,float32,forward,0.07179359912872314,0.288692798614502,4.021149547007484,114104879.81403553
topk,8192,512,8,pre-softmax,4,float32,forward,0.09232447624206543,0.5810572814941406,6.2936428685570585,88730533.15267563
topk,8192,512,32,pre-softmax,0,float32,forward,0.7979548645019531,0.29260896682739257,0.3666986440517857,10266244.82715958
topk,8192,512,32,pre-softmax,4,float32,forward,0.9178115081787109,0.5990668869018555,0.6527123287990072,8925579.95514358
topk,8192,512,36,pre-softmax,0,float32,forward,0.9983033752441406,0.32583969116210937,0.32639345838375383,8205922.371039366
topk,8192,512,36,pre-softmax,4,float32,forward,1.1439202880859376,0.6358982467651367,0.5558938445170443,7161338.150324485
topk,8192,2304,8,pre-softmax,0,float32,forward,0.3897955322265625,0.591036491394043,1.5162731291915177,21016146.473527383
topk,8192,2304,8,pre-softmax,4,float32,forward,0.6895174407958984,1.5299737548828125,2.218905083991479,11880772.719170254
topk,8192,2304,32,pre-softmax,0,float32,forward,4.7537014770507815,0.5940832138061524,0.1249727642078872,1723288.6918852874
topk,8192,2304,32,pre-softmax,4,float32,forward,8.3844580078125,1.6193827819824218,0.19314102121729368,977045.8618036883
topk,8192,2304,36,pre-softmax,0,float32,forward,6.02526123046875,0.6295923233032227,0.10449212062698267,1359609.1001954256
topk,8192,2304,36,pre-softmax,4,float32,forward,10.52957275390625,1.6605990600585938,0.1577081139823595,777999.2779821898
topk,32768,8,8,pre-softmax,0,float32,forward,0.0411078405380249,0.10350975990295411,2.518005289215015,797122874.1555879
topk,32768,256,8,pre-softmax,0,float32,forward,0.13333663940429688,0.44451007843017576,3.333742926296154,245753906.40109402
topk,32768,256,8,pre-softmax,4,float32,forward,0.1907040023803711,1.045516815185547,5.482406253331789,171826493.3666267
topk,32768,256,32,pre-softmax,0,float32,forward,1.3671682739257813,0.4757545471191406,0.3479853622941572,23967788.475596864
topk,32768,256,32,pre-softmax,4,float32,forward,1.6316163635253906,1.1084444427490234,0.6793535953231289,20083152.346669927
topk,32768,256,36,pre-softmax,0,float32,forward,1.7036210632324218,0.6040022277832031,0.3545402442003033,19234324.291475095
topk,32768,256,36,pre-softmax,4,float32,forward,2.0206329345703127,1.2545350646972657,0.6208624254479166,16216700.93532753
topk,32768,512,8,pre-softmax,0,float32,forward,0.2399292755126953,0.8723356628417969,3.6358033465392565,136573579.56830972
topk,32768,512,8,pre-softmax,4,float32,forward,0.3163311958312988,1.7947360229492189,5.673597946079152,103587633.56831665
topk,32768,512,32,pre-softmax,0,float32,forward,2.654926452636719,0.8784575653076172,0.3308783052860783,12342338.134247268
topk,32768,512,32,pre-softmax,4,float32,forward,3.1231671142578126,1.8805625915527344,0.6021331945279624,10491913.75332055
topk,32768,512,36,pre-softmax,0,float32,forward,3.3187152099609376,1.0115679931640624,0.30480711033230506,9873700.491578393
topk,32768,512,36,pre-softmax,4,float32,forward,3.8906173706054688,2.0247999572753907,0.5204315316569631,8422313.704650054
topk,32768,2304,8,pre-softmax,0,float32,forward,1.3020156860351562,2.1213465881347657,1.6292788258139976,25167131.511129294
topk,32768,2304,8,pre-softmax,4,float32,forward,2.605518493652344,5.754221801757812,2.2084747491819576,12576383.579633212
topk,32768,2304,32,pre-softmax,0,float32,forward,16.07508056640625,2.166617889404297,0.13478115275715016,2038434.5736019923
topk,32768,2304,32,pre-softmax,4,float32,forward,31.91626708984375,6.10859619140625,0.1913944439119605,1026686.4827192553
topk,32768,2304,36,pre-softmax,0,float32,forward,23.6865625,2.3111439514160157,0.09757194406811945,1383400.3984326555
topk,32768,2304,36,pre-softmax,4,float32,forward,40.0839013671875,6.272488403320312,0.15648397958725002,817485.296648887
topk,131072,8,8,pre-softmax,0,float32,forward,0.14959967613220215,0.2928553581237793,1.9575935302492313,876151629.3937085
topk,131072,256,8,pre-softmax,0,float32,forward,0.4996486282348633,1.7343679809570312,3.471175307904137,262328349.55045387
topk,131072,256,8,pre-softmax,4,float32,forward,0.7176774597167969,4.016512145996094,5.596542139669612,182633574.77009574
topk,131072,256,32,pre-softmax,0,float32,forward,5.201986083984375,1.8870806884765625,0.36276157952179383,25196530.30282764
