kernel,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,fused_gbps,ref_gbps
topk,128,8,4,pre-softmax,0,float32,forward,0.03195264101028442,0.09756287574768066,3.053358741653894,0.416616579384325,0.1364453425340577
topk,128,8,4,pre-softmax,0,float32,backward_raw,0.00859935998916626,0.06497632026672363,7.555948390180527,1.5480221803449172,0.2048746365653686
topk,128,8,4,pre-softmax,4,float32,forward,0.030141119956970216,0.1867635154724121,6.196303114782652,0.4416557851534499,0.07127730470444262
topk,128,8,4,pre-softmax,4,float32,backward_raw,0.008600959777832031,0.06520991802215576,7.58170247351077,1.547734246393074,0.20414072588585538
topk,128,8,8,pre-softmax,0,float32,forward,0.03069279909133911,0.09409184455871582,3.0655999890627976,0.43371736674731565,0.1414787866305773
topk,128,8,8,pre-softmax,0,float32,backward_raw,0.008515200018882752,0.06458240032196044,7.584366800397727,1.5633220559094534,0.20612426812314405
topk,128,256,4,pre-softmax,0,float32,forward,0.030083520412445067,0.0952790355682373,3.167150461846277,14.16004490697097,4.47091007438795
topk,128,256,4,pre-softmax,0,float32,backward_raw,0.008794559836387635,0.06462528228759766,7.348324815553531,48.43721663447945,6.591599834013434
topk,128,256,4,pre-softmax,4,float32,forward,0.03035167932510376,0.19562335968017577,6.445223593225579,14.034940058412856,2.1775722526003047
topk,128,256,4,pre-softmax,4,float32,backward_raw,0.008709440231323242,0.06458975791931153,7.416063053859235,48.910606041931516,6.595225214068129
topk,128,256,8,pre-softmax,0,float32,forward,0.030929598808288574,0.09536576271057129,3.0833171584823464,13.77269723543404,4.466844157612758
topk,128,256,8,pre-softmax,0,float32,backward_raw,0.008627200126647949,0.0647657585144043,7.507158471304488,49.37685387455058,6.577302725563826
topk,128,256,8,pre-softmax,4,float32,forward,0.08411871910095214,0.2052444839477539,2.4399382936565748,5.0640809150787245,2.0754954861950714
topk,128,256,8,pre-softmax,4,float32,backward_raw,0.008687360286712647,0.0650716781616211,7.490385573296471,49.03491808110506,6.546381037568552
topk,128,256,22,pre-softmax,0,float32,forward,0.030708799362182616,0.09509568214416504,3.096691636250482,13.871724354179483,4.479530409742561
topk,128,256,22,pre-softmax,0,float32,backward_raw,0.008690239787101746,0.06460192203521728,7.433848043077124,49.01867042060856,6.593983376652136
topk,128,256,36,pre-softmax,0,float32,forward,0.03078495979309082,0.09011072158813477,2.927102136685546,13.837406410893061,4.727339793671022
topk,128,256,36,pre-softmax,0,float32,backward_raw,0.008846399784088134,0.06473983764648437,7.318212970990842,48.15337429879781,6.57993617973079
topk,128,256,36,pre-softmax,4,float32,forward,0.08324607849121093,0.20012351989746094,2.403999365791025,5.117165970106028,2.128605374412089
topk,128,256,36,pre-softmax,4,float32,backward_raw,0.00863871991634369,0.06463679790496826,7.4822194180275705,49.31100951589786,6.590425482188948
topk,128,512,4,pre-softmax,0,float32,forward,0.02996959924697876,0.09575936317443848,3.1952166722446913,28.427740824258336,8.896968105855366
topk,128,512,4,pre-softmax,0,float32,backward_raw,0.008642879724502563,0.0648195219039917,7.4997597988351465,98.57455236646078,13.143694599628546
topk,128,512,4,pre-softmax,4,float32,forward,0.04309023857116699,0.1965033531188965,4.560275357825077,19.7717169421772,4.335641028397655
topk,128,512,4,pre-softmax,4,float32,backward_raw,0.008669440150260926,0.06451648235321045,7.441827988312334,98.27255107982471,13.205431680786678
topk,128,512,8,pre-softmax,0,float32,forward,0.03134783983230591,0.09568608283996582,3.052397975485231,27.177885447851295,8.903781769653058
topk,128,512,8,pre-softmax,0,float32,backward_raw,0.008816319704055785,0.06498208045959472,7.370658351885869,96.63533408481862,13.11081445799117
topk,128,512,8,pre-softmax,4,float32,forward,0.0937887954711914,0.20657888412475586,2.202596622410079,9.083899582244817,4.1241775683398725
topk,128,512,8,pre-softmax,4,float32,backward_raw,0.008642560243606568,0.06458687782287598,7.4731186132783805,98.57819627352357,13.191038624539955
topk,128,512,22,pre-softmax,0,float32,forward,0.031124160289764405,0.09502464294433594,3.0530829445569347,27.373204355337453,8.965758498025302
topk,128,512,22,pre-softmax,0,float32,backward_raw,0.008674880266189575,0.06534783840179444,7.532996006468036,98.21092324703928,13.037432007492464
topk,128,512,36,pre-softmax,0,float32,forward,0.030978879928588866,0.08982560157775879,2.8995755103096292,27.50157533015779,9.484690166672383
topk,128,512,36,pre-softmax,0,float32,backward_raw,0.008525440096855163,0.06505216121673583,7.630358137256993,99.93243636938709,13.096690164704567
topk,128,512,36,pre-softmax,4,float32,forward,0.09279264450073242,0.20220767974853515,2.1791347885008183,9.181417391259663,4.213331566137867
topk,128,512,36,pre-softmax,4,float32,backward_raw,0.008748160004615783,0.06525792121887207,7.459616786208768,97.38825073506622,13.055395944080693
topk,128,2304,4,pre-softmax,0,float32,forward,0.038567678928375246,0.09491456031799317,2.4609870999564367,99.40593021218427,40.39270673704219
topk,128,2304,4,pre-softmax,0,float32,backward_raw,0.008494399785995484,0.06477727890014648,7.625880642790471,451.3392466317382,59.185196801950426
