sms_combine,batch_size,group_size,chunk_size,dispatch_kernel_us,combine_wp_kernel_us,combine_np_kernel_us,dispatch_noprob_kernel_us,fused_dispatch_kernel_us,fused_combine_kernel_us
32,4,1,16,103.1,1116.2,950.3,94.8,551.0,1419.9
32,4,1,32,102.4,562.1,482.6,94.2,557.8,1134.6
32,4,1,64,101.5,564.7,486.2,94.1,586.7,1118.0
32,4,2,16,103.0,1144.4,962.9,94.9,551.2,1428.6
32,4,2,32,101.8,577.5,488.0,94.2,557.9,1132.4
32,4,2,64,101.7,293.3,248.2,94.0,583.7,1111.6
32,4,4,16,101.5,2265.4,1908.0,94.7,551.7,2316.4
32,4,4,32,101.5,1142.9,958.8,94.1,556.9,1217.9
32,4,4,64,101.5,577.6,485.6,94.0,586.5,1116.2
