kernel,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,tokens_per_sec
topk,131072,256,36,sqrtsoftplus,0,float32,backward,0.637500159740448,0.6930086398124695,1.0870721037852307,205603085.7362682
topk,131072,256,36,sqrtsoftplus,4,float32,backward,0.6241561603546143,0.6770825612545014,1.0847967291868383,209998728.40401262
topk,131072,512,8,sqrtsoftplus,0,float32,backward,0.942558399438858,0.8840592008829117,0.9379357304642628,139059818.55133042
topk,131072,512,8,sqrtsoftplus,4,float32,backward,0.9393075221776962,0.9114028817415237,0.9702923272971581,139541094.8015426
topk,131072,512,32,sqrtsoftplus,0,float32,backward,1.0195923227071761,0.939769919514656,0.9217114513175431,128553341.44924065
topk,131072,512,32,sqrtsoftplus,4,float32,backward,0.9909008002281189,0.9637923216819764,0.9726425909234286,132275602.12871504
topk,131072,512,36,sqrtsoftplus,0,float32,backward,0.9972035229206085,0.9509107208251953,0.9535773781064963,131439567.73850584
topk,131072,512,36,sqrtsoftplus,4,float32,backward,0.9964969581365586,0.962079359292984,0.9654614110333711,131532764.7814436
topk,131072,2304,8,sqrtsoftplus,0,float32,backward,10.656434268951417,2.548682565689087,0.23916842175951178,12299799.04083783
topk,131072,2304,8,sqrtsoftplus,4,float32,backward,10.65452320098877,2.565977923870087,0.2408346085005434,12302005.216698589
topk,131072,2304,32,sqrtsoftplus,0,float32,backward,10.878699827194215,2.652663676738739,0.24384013888384876,12048498.633297201
topk,131072,2304,32,sqrtsoftplus,4,float32,backward,10.847959032058716,2.6934364914894102,0.24828969979786625,12082641.500824813
topk,131072,2304,36,sqrtsoftplus,0,float32,backward,10.910483169555665,2.684399673938751,0.2460385697151554,12013400.136644725
topk,131072,2304,36,sqrtsoftplus,4,float32,backward,10.855256013870239,2.6567615938186644,0.2447442594098198,12074519.461588334
