kernel,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,fused_gbps,ref_gbps
topk,128,8,4,pre-softmax,0,float32,forward,0.018038079738616944,0.05864575862884522,3.251219613099561,0.7379942983343685,0.2269899871915447
topk,128,8,4,pre-softmax,0,float32,backward_raw,0.005142719745635987,0.03934240102767944,7.650115692394992,2.588513599500791,0.33836267366179074
topk,128,8,4,pre-softmax,4,float32,forward,0.016949119567871093,0.10957792282104492,6.465110024284792,0.7854095280107852,0.12148432510205762
topk,128,8,4,pre-softmax,4,float32,backward_raw,0.005269119739532471,0.03896928071975708,7.395785756657492,2.5264181984942278,0.34160240461535984
topk,128,8,8,pre-softmax,0,float32,forward,0.016259839534759523,0.056371841430664066,3.4669371312155315,0.818704266517651,0.2361462684587556
topk,128,8,8,pre-softmax,0,float32,backward_raw,0.005128960013389587,0.039061760902404784,7.615922292322562,2.595457941814303,0.34079364812200424
topk,128,256,4,pre-softmax,0,float32,forward,0.01621343970298767,0.05715263843536377,3.5250162508595992,26.273511839779648,7.453444174441089
topk,128,256,4,pre-softmax,0,float32,backward_raw,0.0051424002647399904,0.03877919912338257,7.5410697586651825,82.83758129853368,10.984858110263186
topk,128,256,4,pre-softmax,4,float32,forward,0.016361919641494752,0.11434176445007324,6.988285418545638,26.035086917288147,3.72553285362326
topk,128,256,4,pre-softmax,4,float32,backward_raw,0.005205760002136231,0.039072320461273194,7.505593889314819,81.82935821574442,10.902449482677053
topk,128,256,8,pre-softmax,0,float32,forward,0.017053439617156982,0.056593918800354005,3.3186219361527787,24.979359564004294,7.527027797858298
topk,128,256,8,pre-softmax,0,float32,backward_raw,0.005093119740486145,0.039015679359436034,7.660467718693757,83.63910956457099,10.918277138674885
topk,128,256,8,pre-softmax,4,float32,forward,0.022631359100341798,0.12041312217712402,5.320631502652682,18.822731684442513,3.537687523568989
topk,128,256,8,pre-softmax,4,float32,backward_raw,0.0051068800687789915,0.03913824081420898,7.663826110482085,83.41374660514572,10.884086538844846
topk,128,256,22,pre-softmax,0,float32,forward,0.017255680561065675,0.05676032066345215,3.289370156255764,24.686595147174657,7.5049611246169405
topk,128,256,22,pre-softmax,0,float32,backward_raw,0.0051574397087097166,0.03898623943328858,7.559223497552455,82.5960212933972,10.92652192651009
topk,128,256,36,pre-softmax,0,float32,forward,0.016614079475402832,0.054243521690368654,3.26491285723511,25.63993994555461,7.85317742516037
topk,128,256,36,pre-softmax,0,float32,backward_raw,0.0052009600400924685,0.03889312028884888,7.478065585783157,81.90487846786579,10.95268255250106
topk,128,256,36,pre-softmax,4,float32,forward,0.08261119842529296,0.1192246437072754,1.4432019626866053,5.156492196215097,3.572952593977895
topk,128,256,36,pre-softmax,4,float32,backward_raw,0.005181760191917419,0.03891583919525146,7.510158277095286,82.20835859298462,10.946288421604406
topk,128,512,4,pre-softmax,0,float32,forward,0.016208319664001464,0.056894078254699706,3.51017745417873,52.563622735811,14.974634024053701
topk,128,512,4,pre-softmax,0,float32,backward_raw,0.005163840055465698,0.039319040775299074,7.614302602901419,164.98729450348276,21.668076921531146
topk,128,512,4,pre-softmax,4,float32,forward,0.027176320552825928,0.11484416007995606,4.22589069247691,31.34964493607315,7.418470381139523
topk,128,512,4,pre-softmax,4,float32,backward_raw,0.005191680192947388,0.03907104015350342,7.525702412598387,164.1025580037368,21.805613483868456
topk,128,512,8,pre-softmax,0,float32,forward,0.02901535987854004,0.05703455924987793,1.9656678217546797,29.362654937467152,14.937750220307409
topk,128,512,8,pre-softmax,0,float32,backward_raw,0.005251839756965637,0.039268798828125,7.477150988097433,162.2227713383705,21.695799857005188
topk,128,512,8,pre-softmax,4,float32,forward,0.03612639904022217,0.12016896247863769,3.326347648013431,23.582975957593824,7.089750817740924
topk,128,512,8,pre-softmax,4,float32,backward_raw,0.005109440088272094,0.039134719371795655,7.659297045408786,166.74390643224427,21.770131833729522
topk,128,512,22,pre-softmax,0,float32,forward,0.019444479942321777,0.05725567817687988,2.9445723591845905,43.81541715320725,14.880061281747752
topk,128,512,22,pre-softmax,0,float32,backward_raw,0.005189120173454285,0.03897792100906372,7.511470096310559,164.1835169588804,21.857707593021388
topk,128,512,36,pre-softmax,0,float32,forward,0.020489919185638427,0.05422560214996338,2.6464527096803097,41.579861408001655,15.71154521518901
topk,128,512,36,pre-softmax,0,float32,backward_raw,0.005129280090332031,0.0389136004447937,7.58656180974409,166.0989427358119,21.893836351860518
topk,128,512,36,pre-softmax,4,float32,forward,0.09566559791564941,0.11870944023132324,1.2408790915203616,8.90568834108161,7.176918687678182
topk,128,512,36,pre-softmax,4,float32,backward_raw,0.005186240077018738,0.03905695915222168,7.530881442471366,164.27469367938437,21.81347494769155
topk,128,2304,4,pre-softmax,0,float32,forward,0.03768735885620117,0.057029438018798825,1.513224586429597,101.72790337015532,67.22591232156682
topk,128,2304,4,pre-softmax,0,float32,backward_raw,0.0060748797655105595,0.03889600038528442,6.4027605297000365,631.0998979381094,98.56684394343198
topk,128,2304,4,pre-softmax,4,float32,forward,0.04287968158721924,0.11482048034667969,2.677736309984708,89.4096191503139,33.39000140414293
topk,128,2304,4,pre-softmax,4,float32,backward_raw,0.006088640093803405,0.039007039070129396,6.406527314667203,629.6736119945457,98.28626041333831
topk,128,2304,8,pre-softmax,0,float32,forward,0.1120143985748291,0.05687583923339844,0.5077547168670785,34.226457033904126,67.40746249505354
topk,128,2304,8,pre-softmax,0,float32,backward_raw,0.006092479825019837,0.038947839736938474,6.39277287008688,629.2767658016031,98.43565203858887
topk,128,2304,8,pre-softmax,4,float32,forward,0.12441311836242676,0.12019200325012207,0.9660717843273714,30.81552854283121,31.897762715724653
topk,128,2304,8,pre-softmax,4,float32,backward_raw,0.0060787200927734375,0.03880768060684204,6.384186146846564,630.7011906269219,98.79116556437714
topk,128,2304,22,pre-softmax,0,float32,forward,0.05060160160064697,0.05650527954101563,1.116669784228592,75.76550699436719,67.84951833070942
topk,128,2304,22,pre-softmax,0,float32,backward_raw,0.006083199977874756,0.039003520011901854,6.411678089453215,630.2367198093341,98.29512820458527
topk,128,2304,36,pre-softmax,0,float32,forward,0.05228864192962646,0.05373151779174805,1.0275944413332345,73.32100927692593,71.35208826333943
topk,128,2304,36,pre-softmax,0,float32,backward_raw,0.006091200113296509,0.03903359889984131,6.408195129664954,629.4089717445103,98.21938299457153
topk,128,2304,36,pre-softmax,4,float32,forward,0.15174912452697753,0.11788288116455078,0.776827421785843,25.264435705646708,32.5225848072748
topk,128,2304,36,pre-softmax,4,float32,backward_raw,0.006079679727554322,0.0388371205329895,6.388020796058043,630.6016388699226,98.7162783281886
topk,8192,8,4,pre-softmax,0,float32,forward,0.016217919588088988,0.05626431941986084,3.4692686145258325,52.5325085854856,15.142243055360984
topk,8192,8,4,pre-softmax,0,float32,backward_raw,0.0052003198862075805,0.03908927917480469,7.516706670002794,163.8299217437779,21.795439004900935
topk,8192,8,4,pre-softmax,4,float32,forward,0.024667201042175294,0.1468339157104492,5.952597356278755,34.53849500570936,5.802256214974529
topk,8192,8,4,pre-softmax,4,float32,backward_raw,0.005191360116004944,0.03909280061721802,7.530358084135804,164.1126758618393,21.79347569242096
topk,8192,8,8,pre-softmax,0,float32,forward,0.016991039514541628,0.056211838722229006,3.3083225234171585,50.14219402355288,15.156380210403768
