kernel,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,tokens_per_sec
topk,128,8,8,pre-softmax,0,float32,forward,0.01780832052230835,0.06035327911376953,3.3890494636013226,7187651.403716335
topk,128,256,8,pre-softmax,0,float32,forward,0.021393280029296875,0.06025919914245605,2.8167349307789418,5983187.235651163
topk,128,256,8,pre-softmax,4,float32,forward,0.12097791671752929,0.12946816444396972,1.0701801449124329,1058044.3396034546
topk,128,256,32,pre-softmax,0,float32,forward,0.02164544105529785,0.05989376068115235,2.767038127250033,5913485.415843316
topk,128,256,32,pre-softmax,4,float32,forward,0.12097887992858887,0.1286012840270996,1.063006072655079,1058035.9156536707
topk,128,256,36,pre-softmax,0,float32,forward,0.0219651198387146,0.05707935810089111,2.5986363161236183,5827420.971971832
topk,128,256,36,pre-softmax,4,float32,forward,0.121015043258667,0.1259404754638672,1.0407009911542335,1057719.739242689
topk,128,512,8,pre-softmax,0,float32,forward,0.02781631946563721,0.06027071952819824,2.166739550236093,4601615.255322486
topk,128,512,8,pre-softmax,4,float32,forward,0.13322272300720214,0.12866175651550293,0.9657643501893244,960797.0555674664
topk,128,512,32,pre-softmax,0,float32,forward,0.028835198879241943,0.05993535995483398,2.078548520016646,4439019.149340614
topk,128,512,32,pre-softmax,4,float32,forward,0.13333984375,0.12850272178649902,0.9637233565942215,959953.1272887066
topk,128,512,36,pre-softmax,0,float32,forward,0.028853759765625,0.05765471935272217,1.9981700763104455,4436163.641748107
topk,128,512,36,pre-softmax,4,float32,forward,0.13338111877441405,0.126144962310791,0.9457482698442388,959656.0680862552
topk,128,2304,8,pre-softmax,0,float32,forward,0.06605728149414063,0.06538464069366455,0.9898173102909822,1937712.196214944
topk,128,2304,8,pre-softmax,4,float32,forward,0.2073027229309082,0.12918368339538575,0.6231644310742667,617454.5041680955
topk,128,2304,32,pre-softmax,0,float32,forward,0.0677292823791504,0.06703743934631348,0.9897851710732154,1889876.8081352534
topk,128,2304,32,pre-softmax,4,float32,forward,0.21329919815063478,0.1331599998474121,0.6242873906791376,600096.0205654625
topk,128,2304,36,pre-softmax,0,float32,forward,0.06779583930969238,0.06922624111175538,1.0210986664761077,1888021.467147772
