kernel,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,tokens_per_sec
topk,32768,512,36,sqrtsoftplus,4,float32,forward,1.7755810546875,2.2056419372558596,1.2422085330506356,18454803.80267243
topk,32768,2304,8,sqrtsoftplus,0,float32,forward,1.701224365234375,2.282839050292969,1.341880058235861,19261421.755786814
topk,32768,2304,8,sqrtsoftplus,4,float32,forward,4.162530212402344,6.210562744140625,1.49201625627512,7872135.05438761
topk,32768,2304,32,sqrtsoftplus,0,float32,forward,1.8351773071289061,2.35189208984375,1.2815612315538234,17855495.418731395
topk,32768,2304,32,sqrtsoftplus,4,float32,forward,4.3528921508789065,6.576341552734375,1.5107981830899542,7527868.567426764
topk,32768,2304,36,sqrtsoftplus,0,float32,forward,1.7489923095703126,2.4990106201171876,1.4288288212834608,18735359.681513038
topk,32768,2304,36,sqrtsoftplus,4,float32,forward,4.384955139160156,6.750750122070312,1.539525470119923,7472824.455457487
topk,131072,8,8,sqrtsoftplus,0,float32,forward,0.439156494140625,0.3341059112548828,0.7607900958146748,298463080.35701877
topk,131072,256,8,sqrtsoftplus,0,float32,forward,0.9366432189941406,2.022760009765625,2.159584320631567,139938022.6557963
topk,131072,256,8,sqrtsoftplus,4,float32,forward,5.528024291992187,4.430120239257812,0.8013930484486506,23710460.20725143
topk,131072,256,32,sqrtsoftplus,0,float32,forward,0.9688031768798828,2.23836669921875,2.3104452510442934,135292702.50963575
topk,131072,256,32,sqrtsoftplus,4,float32,forward,5.5465460205078125,4.766751098632812,0.859408915207449,23631283.23741912
topk,131072,256,36,sqrtsoftplus,0,float32,forward,0.9835350036621093,2.8210577392578124,2.8682840252292423,133266227.95524767
topk,131072,256,36,sqrtsoftplus,4,float32,forward,5.576682739257812,5.372266845703125,0.9633445359701613,23503578.404649224
topk,131072,512,8,sqrtsoftplus,0,float32,forward,1.6529884338378906,3.985316162109375,2.4109764354831635,79293960.75426762
topk,131072,512,8,sqrtsoftplus,4,float32,forward,6.567293090820312,7.83312255859375,1.1927475217365888,19958299.132897075
topk,131072,512,32,sqrtsoftplus,0,float32,forward,1.7660403442382813,4.134654541015625,2.3412005023016396,74218010.04015751
topk,131072,512,32,sqrtsoftplus,4,float32,forward,6.678690795898437,8.221921997070313,1.2310679215931983,19625403.242278386
topk,131072,512,36,sqrtsoftplus,0,float32,forward,1.7850892639160156,4.721146545410156,2.6447677664327016,73426020.00331488
topk,131072,512,36,sqrtsoftplus,4,float32,forward,6.716015625,8.855148315429688,1.3185121670156459,19516333.39149654
topk,131072,2304,8,sqrtsoftplus,0,float32,forward,6.893721313476562,8.95939453125,1.2996455939893081,19013243.216514546
topk,131072,2304,8,sqrtsoftplus,4,float32,forward,16.812618408203125,24.478232421875,1.455944090774802,7796049.182681029
topk,131072,2304,32,sqrtsoftplus,0,float32,forward,7.454476928710937,9.283812255859376,1.2454008972920352,17582990.899760634
topk,131072,2304,32,sqrtsoftplus,4,float32,forward,17.716536865234374,25.9813671875,1.4665037182568066,7398285.624162024
topk,131072,2304,36,sqrtsoftplus,0,float32,forward,7.163473510742188,9.886053466796875,1.3800642177250975,18297268.748666033
topk,131072,2304,36,sqrtsoftplus,4,float32,forward,17.889503173828125,26.69943603515625,1.4924638082860135,7326754.618415279
