rank,sync_type,n,min,p1,p5,p10,p25,median,p75,p95,max,straggler_count
29,pre_dispatch,269,519,559,938,1616,2381,2866,3092,4247,29791,18
30,pre_dispatch,282,532,636,1058,2044,2679,2961,3191,4306,29828,4
31,pre_dispatch,281,538,682,1286,1964,2660,2943,3186,4252,29763,4
32,pre_dispatch,272,526,765,1193,2008,2645,2922,3167,4276,29748,7
33,pre_dispatch,278,547,717,1027,2015,2688,2970,3213,4347,29835,3
34,pre_dispatch,277,593,648,1147,1947,2541,2878,3140,4269,29729,4
35,pre_dispatch,259,504,677,1330,1798,2620,2912,3145,4303,29770,52
36,pre_dispatch,278,555,774,1301,1972,2627,2913,3137,4286,29729,3
37,pre_dispatch,277,502,887,1463,2048,2630,2912,3136,4252,29776,6
38,pre_dispatch,276,541,635,1296,1689,2495,2895,3143,4285,29787,7
39,pre_dispatch,280,552,648,1531,1940,2601,2921,3167,4326,29745,1
40,pre_dispatch,264,502,514,958,1604,2308,2837,3105,4314,29733,20
41,pre_dispatch,213,540,587,728,1156,1747,2639,2976,4435,29764,72
42,pre_dispatch,274,549,620,1036,2154,2665,2952,3180,4289,29764,7
43,pre_dispatch,279,552,689,1102,2001,2647,2962,3215,4276,29727,4
44,pre_dispatch,272,520,666,1183,1835,2514,2871,3115,4265,29756,3
45,pre_dispatch,278,544,622,1220,1940,2591,2923,3163,4269,29820,4
46,pre_dispatch,281,544,651,1236,2020,2675,2954,3199,4281,29790,2
47,pre_dispatch,279,522,580,930,1951,2575,2924,3153,4292,29757,5
48,pre_dispatch,283,506,541,1113,1933,2620,2912,3141,4254,29767,2
49,pre_dispatch,261,512,564,1016,1703,2660,2943,3201,4329,29729,25
50,pre_dispatch,249,526,701,1255,1731,2392,2876,3084,3711,29795,29
51,pre_dispatch,274,525,562,1370,1843,2531,2876,3128,4254,29735,5
52,pre_dispatch,272,526,562,1152,1921,2537,2892,3136,4291,29761,7
53,pre_dispatch,281,522,593,1128,1950,2604,2920,3171,4244,29783,6
54,pre_dispatch,283,734,883,1153,2014,2678,2962,3215,4293,29766,0
55,pre_dispatch,280,502,696,1163,1994,2593,2921,3165,4323,29802,4
56,pre_dispatch,271,505,610,999,1543,2284,2848,3108,4263,29749,10
57,pre_dispatch,271,543,601,1171,1818,2538,2895,3133,4248,29749,2
58,pre_dispatch,277,886,950,1550,2124,2658,2936,3190,4280,29767,3
59,pre_dispatch,279,538,782,1440,2025,2667,2927,3166,4263,29723,7
60,pre_dispatch,276,618,708,1378,1978,2619,2914,3147,4254,29737,17
61,pre_dispatch,279,586,838,1205,2050,2671,2959,3169,4270,29806,4
62,pre_dispatch,279,594,647,1336,1941,2635,2945,3201,4346,29765,3
63,pre_dispatch,275,562,576,1043,1615,2403,2878,3121,4296,29770,5
64,pre_dispatch,275,534,583,1103,1626,2367,2868,3111,4297,29753,5
65,pre_dispatch,258,575,583,922,1612,2405,2881,3164,4357,29799,4
66,pre_dispatch,283,518,674,1186,1953,2618,2937,3183,4273,29801,3
67,pre_dispatch,279,552,562,1373,2005,2628,2911,3157,4263,29740,3
68,pre_dispatch,276,547,556,1172,1954,2580,2860,3113,4266,29794,11
69,pre_dispatch,255,507,534,733,1259,2199,2800,3116,4270,29744,23
70,pre_dispatch,282,616,705,1157,2014,2647,2940,3191,4309,29825,2
71,pre_dispatch,276,710,842,1585,2079,2648,2913,3164,4317,29770,3
0,pre_combine,280,1277,1688,2428,2898,3538,3873,4131,4735,14661,2
1,pre_combine,271,808,930,1657,2111,3312,3783,4052,4535,14649,15
2,pre_combine,276,516,731,1255,1937,3222,3803,4063,4621,14533,15
3,pre_combine,278,696,989,1877,2402,3376,3860,4094,4634,14717,4
4,pre_combine,279,678,735,1319,1726,3258,3790,4040,4586,14468,3
5,pre_combine,280,850,918,1908,2748,3463,3841,4071,4612,14681,0
6,pre_combine,280,758,1056,2023,2616,3485,3873,4135,4605,14702,1
7,pre_combine,279,1470,2031,2410,3006,3584,3897,4127,4696,14674,7
8,pre_combine,280,971,1281,2053,2665,3478,3846,4079,4724,14649,1
9,pre_combine,246,527,536,1377,2183,3223,3796,4036,4612,14704,32
10,pre_combine,280,1470,1837,2460,2846,3594,3883,4155,4730,14561,1
11,pre_combine,270,723,1023,2282,2767,3543,3900,4094,4612,14698,5
12,pre_combine,280,1227,2109,2471,2933,3480,3856,4120,4727,14673,1
13,pre_combine,279,1383,2299,2737,3096,3626,3907,4128,4723,14634,0
14,pre_combine,280,711,950,1983,2623,3399,3868,4094,4683,14726,0
15,pre_combine,280,548,598,1470,2064,3163,3766,4039,4587,14707,5
16,pre_combine,264,532,676,1098,1452,2665,3700,4008,4619,14673,37
17,pre_combine,279,525,709,1449,1962,3211,3783,4038,4537,14631,16
18,pre_combine,280,993,1409,2134,2681,3506,3868,4125,4628,14523,0
19,pre_combine,280,993,1337,2029,2728,3494,3861,4101,4659,14703,1
20,pre_combine,246,586,644,944,1451,2897,3715,4022,4586,7836,24
21,pre_combine,271,538,774,1698,2649,3399,3834,4051,4683,14581,1
22,pre_combine,277,1176,1464,2191,2688,3497,3860,4107,4606,14714,0
23,pre_combine,280,1092,1407,2220,2729,3509,3869,4127,4640,14650,1
24,pre_combine,280,1059,1344,2279,2785,3513,3829,4071,4570,14469,3
25,pre_combine,278,690,719,2061,2718,3463,3866,4110,4537,14679,8
26,pre_combine,279,869,917,1840,2626,3413,3843,4087,4642,14680,4
27,pre_combine,262,511,692,956,1404,2377,3525,4002,4599,12401,48
28,pre_combine,256,502,703,1148,1736,2900,3708,4025,4577,14615,13
29,pre_combine,269,506,576,1107,1993,3270,3799,4032,4533,14679,29
30,pre_combine,280,1438,1602,2243,2806,3527,3896,4136,4651,14697,2
31,pre_combine,280,1201,1946,2481,2951,3570,3910,4147,4725,14687,1
32,pre_combine,275,1081,1349,2139,2728,3446,3842,4068,4672,14631,4
33,pre_combine,279,896,1205,2082,2651,3480,3860,4141,4627,14682,4
34,pre_combine,279,544,970,1669,2674,3407,3859,4070,4614,14667,0
35,pre_combine,265,507,696,1468,2303,3271,3843,4092,4630,14705,46
36,pre_combine,280,957,1354,2292,2876,3480,3829,4086,4669,14611,2
37,pre_combine,279,1391,2056,2396,2844,3527,3855,4111,4689,14671,1
38,pre_combine,279,638,789,1468,2042,3239,3812,4071,4646,14709,3
39,pre_combine,280,635,820,1948,2649,3462,3843,4100,4616,14660,1
40,pre_combine,272,505,551,987,1806,3141,3776,4025,4559,14632,31
41,pre_combine,218,510,524,826,1188,1952,3445,3940,4701,14679,94
42,pre_combine,274,1429,1562,2392,3146,3630,3935,4148,4738,14706,2
43,pre_combine,278,1082,1528,2301,2835,3588,3896,4136,4726,14696,3
44,pre_combine,277,527,660,1517,2271,3278,3794,4027,4584,14651,3
45,pre_combine,280,611,727,1860,2573,3355,3815,4052,4673,14620,2
46,pre_combine,280,1429,1913,2662,3080,3624,3916,4166,4734,14725,0
47,pre_combine,280,943,998,2121,2747,3500,3872,4124,4607,14532,0
48,pre_combine,280,778,1745,2435,2883,3520,3840,4082,4671,14618,2
49,pre_combine,257,747,1483,2100,2638,3607,3854,4100,4682,14656,21
50,pre_combine,255,563,616,1191,1919,3221,3796,4043,4441,14696,40
51,pre_combine,279,508,643,1614,2386,3372,3825,4061,4598,14505,3
52,pre_combine,277,535,606,1391,2208,3290,3797,4029,4539,14653,9
53,pre_combine,280,776,881,1874,2641,3391,3811,4065,4567,14620,0
54,pre_combine,280,1210,1828,2447,3049,3576,3898,4141,4760,14696,1
55,pre_combine,280,972,1071,1961,2703,3409,3859,4114,4716,14576,0
56,pre_combine,272,519,742,1351,1811,3089,3737,4008,4517,14629,11
57,pre_combine,274,715,873,1533,2267,3299,3812,4034,4560,14681,6
58,pre_combine,280,1453,2072,2521,3025,3603,3934,4157,4766,14669,3
59,pre_combine,280,1376,2058,2646,3073,3595,3898,4143,4732,14704,2
60,pre_combine,280,1094,1354,2124,2753,3457,3824,4085,4655,14615,2
61,pre_combine,280,1392,1762,2280,2842,3566,3872,4113,4704,14664,0
62,pre_combine,279,561,817,1934,2698,3518,3886,4121,4695,14704,2
63,pre_combine,274,718,826,1477,1917,3212,3784,4035,4598,14658,5
64,pre_combine,279,662,751,1357,1989,3183,3789,4034,4550,12623,11
65,pre_combine,263,565,637,1224,1775,3160,3764,4031,4566,14669,10
66,pre_combine,280,683,1707,2444,2922,3585,3909,4168,4652,14622,0
67,pre_combine,280,1423,2268,2647,3043,3584,3890,4123,4700,14632,1
68,pre_combine,279,603,767,1802,2660,3381,3797,4032,4621,14666,3
69,pre_combine,253,629,653,1149,1601,2866,3648,3962,4530,14470,46
70,pre_combine,280,1026,1589,2403,2983,3558,3890,4137,4614,14662,0
71,pre_combine,280,1039,1415,2334,2859,3514,3892,4134,4615,14708,0
