occurrence,seg_a_spread_us,seg_b_spread_us
0,2786,11822
1,1796,2174
2,719,1456
3,342,257
4,146,202
5,214,171
6,240,164
7,164,142
8,223,145
9,137,14494
10,736,162
11,1134,126
12,2156,198
13,3172,733
14,2747,1744
15,3005,14805
16,3253,1919
17,3042,2305
18,2917,2167
19,2370,1937
20,2129,1587
21,2120,1477
22,1981,1181
23,321,1046
24,388,26020
25,221,13984
26,117,220
27,201,194
28,142,130
29,135,127
30,121,139
31,127,143
32,360,148
33,142,14601
34,257,204
35,255,177
36,301,163
37,222,185
38,195,141
39,236,15417
40,365,186
41,247,211
42,226,199
43,306,145
44,277,182
45,349,162
46,2197,175
47,2306,226
48,1002,15646
49,205,13958
50,1101,719
51,2896,1574
52,1654,1678
53,1962,184
54,290,4764
55,1062,1344
56,4384,1708
57,2507,14262
58,1876,147
59,3045,4667
60,1578,2254
61,3539,1503
62,2989,653
63,557,14438
64,4342,4617
65,3543,313
66,3354,1664
67,5110,3351
68,2891,10839
69,21568,4730
70,4641,2587
71,20675,2258
72,21097,27083
73,4417,22911
74,20902,3325
75,3766,2749
76,3933,4959
77,3947,23961
78,4624,22499
79,22762,23696
80,4682,24724
81,3741,23591
82,11280,23164
83,3175,23591
84,3666,14854
85,21860,3273
86,5141,23048
87,25242,22978
88,4622,22542
89,4252,22044
90,3801,24103
91,4179,21947
92,2141,22135
93,2503,23356
94,2224,24518
95,2528,22159
96,2772,23355
97,2389,1534
98,2634,1709
99,2453,1681
100,2619,1640
101,3054,14470
102,2563,1799
103,2769,1562
104,2688,14289
105,2649,1695
106,3147,1528
107,2628,14432
108,2137,145
109,2168,185
110,1913,1608
111,3100,174
112,3098,145
113,2746,14608
114,20754,18765
115,15643,14895
116,3742,14910
117,2962,19837
118,2660,26781
119,2550,25938
120,2428,26426
121,3805,2061
122,3762,1739
123,11313,2411
124,4396,3043
125,2494,20810
126,11307,3043
127,2502,1412
128,11361,14581
129,2109,1590
130,11574,1513
131,1395,1648
132,1427,1153
133,1770,843
134,2094,632
135,11522,654
136,11365,914
137,11611,14589
138,11529,15046
139,11337,14774
140,4056,14848
141,2999,15062
142,2899,15862
143,3167,20301
144,3155,16713
145,2974,5094
146,2931,2088
147,3331,1909
148,3690,14364
149,3314,17952
150,2735,14322
151,3237,14380
152,3295,1842
153,20706,1875
154,3924,22492
155,3609,5526
156,3682,14327
157,3950,22189
158,3650,14262
159,3655,22706
160,4317,14103
161,3818,14828
162,4268,22938
163,3104,18266
164,3906,14817
165,3747,15129
166,25306,14911
167,3828,27206
168,4044,5066
169,3620,24250
170,4144,22604
171,4629,22343
172,4832,22650
173,4212,5508
174,4213,15365
175,3361,23136
176,3753,22091
177,3591,24489
178,3689,5434
179,3664,5308
180,3793,24637
181,3738,5390
182,3893,5363
183,3803,20899
184,3222,5343
185,2850,11141
186,1957,13974
187,1702,11021
188,2949,11067
189,2863,11107
190,2873,11135
191,3081,19799
192,2990,2640
193,997,1130
194,1995,14215
195,1808,663
196,2182,14354
197,1870,1455
198,2649,14741
199,3205,14500
