kernel,output_mode,index_dtype,num_tokens,num_experts,topk,score_function,group_topk,dtype,test_pass,fused_ms,ref_ms,speedup,fused_gbps,ref_gbps,checkpoint,shape
topk,sparse,-,4096,256,8,softmax,0,float32,forward,0.0212326407432556,0.0845686435699462,3.9829545741647263,642.0062471188346,161.18844319319686,trace-back,256/8
topk,sparse,-,4096,256,8,softmax,0,float32,backward_raw,0.0054796797037124,0.0513340806961059,9.368080521444949,2487.6432085555502,265.5446014646181,trace-back,256/8
topk,sparse,-,4096,384,6,softmax,0,float32,forward,0.01970144033432,0.12853759765625,6.52427413808606,1037.8546772735572,159.0758841991301,trace-back,384/6
topk,sparse,-,4096,384,6,softmax,0,float32,backward_raw,0.0069830399751663,0.0515721607208252,7.385345194103212,2928.1275880871626,396.4780942704087,trace-back,384/6
topk,sparse,-,4096,512,10,softmax,0,float32,forward,0.0523296022415161,0.150228796005249,2.870818610695722,520.9857295336118,181.47636621575157,trace-back,512/10
topk,sparse,-,4096,512,10,softmax,0,float32,backward_raw,0.0085600000619888,0.0520425605773925,6.079738341181859,3184.927079739497,523.859235547359,trace-back,512/10
topk,sparse,-,4096,512,22,softmax,0,float32,forward,0.2062652778625488,0.1506675243377685,0.7304551008249215,132.17433531477613,180.947925704822,trace-back,512/22
topk,sparse,-,4096,512,22,softmax,0,float32,backward_raw,0.0085667198896408,0.0526262378692626,6.143102441449063,3182.42878852236,518.0491158750193,trace-back,512/22
topk,sparse,-,4096,896,16,softmax,0,float32,forward,0.1964406394958496,0.173666877746582,0.8840679718427167,242.87341011740097,274.722552849828,trace-back,896/16
topk,sparse,-,4096,896,16,softmax,0,float32,backward_raw,0.0198383998870849,0.0692966413497924,3.4930559795251144,2404.942347747508,688.4923579365203,trace-back,896/16
topk,sparse,-,4096,2304,16,softmax,0,float32,forward,0.8203126525878907,0.2541414451599121,0.309810465995077,149.5568690949276,482.736658410062,trace-back,2304/16
topk,sparse,-,4096,2304,16,softmax,0,float32,backward_raw,0.22785888671875,0.1727606391906738,0.7581913599179266,538.4182893486623,710.1350896519654,trace-back,2304/16
topk,sparse,-,4096,2304,36,softmax,0,float32,forward,3.8838009643554687,0.2756684875488281,0.0709790460630817,31.588485899755614,445.0395948077655,trace-back,2304/36
topk,sparse,-,4096,2304,36,softmax,0,float32,backward_raw,0.2279689598083496,0.1730652809143066,0.759161602789258,538.1583181461997,708.8850597408195,trace-back,2304/36
topk,sparse,-,16384,256,8,softmax,0,float32,forward,0.0673305606842041,0.2503424072265625,3.718109647129277,809.8247132641493,217.80549529770016,trace-back,256/8
topk,sparse,-,16384,256,8,softmax,0,float32,backward_raw,0.0156879997253417,0.0797843217849731,5.085691176810297,3475.6471796669434,683.4168766509413,trace-back,256/8
