sms_combine,batch_size,group_size,chunk_size,dispatch_kernel_us,combine_wp_kernel_us,combine_np_kernel_us,dispatch_noprob_kernel_us,fused_dispatch_kernel_us,fused_combine_kernel_us
32,4,1,16,103.1,1116.2,950.3,94.8,551.0,1419.9
32,4,1,32,102.4,562.1,482.6,94.2,557.8,1134.6
32,4,1,64,101.5,564.7,486.2,94.1,586.7,1118.0
32,4,2,16,103.0,1144.4,962.9,94.9,551.2,1428.6
32,4,2,32,101.8,577.5,488.0,94.2,557.9,1132.4
32,4,2,64,101.7,293.3,248.2,94.0,583.7,1111.6
32,4,4,16,101.5,2265.4,1908.0,94.7,551.7,2316.4
32,4,4,32,101.5,1142.9,958.8,94.1,556.9,1217.9
32,4,4,64,101.5,577.6,485.6,94.0,586.5,1116.2
32,8,1,16,101.7,920.3,762.2,94.7,551.0,1421.5
32,32,4,64,102.0,490.2,403.9,94.1,583.6,1114.8
64,16,1,64,102.3,242.4,201.8,94.1,583.2,1393.2
64,16,4,16,102.4,1965.4,1572.9,94.9,549.4,2098.0
64,16,4,64,101.5,488.8,401.8,93.9,585.6,1393.0
64,32,1,16,101.6,937.8,781.4,94.6,551.0,1568.6
64,32,1,32,101.6,467.8,394.9,94.0,557.2,1419.0
64,32,1,64,101.3,238.8,202.3,94.0,584.0,1393.9
64,32,2,16,101.8,947.4,801.5,94.6,552.0,1566.4
64,32,2,32,101.6,485.6,406.7,94.1,558.4,1415.4
64,32,2,64,101.8,248.4,208.6,94.0,583.3,1392.8
64,32,4,16,101.8,1965.4,1572.9,94.7,551.5,2096.6
64,32,4,32,101.5,967.9,793.7,94.2,557.0,1433.4
64,32,4,64,101.5,489.1,402.1,94.0,586.7,1392.9
